Site,V1,V2,V3,V4,V5,V6,V7,V8
C-foret,145,152,159,166,173,180,187,194
C-lisiere,145,152,159,166,173,180,187,194
E-foret,145,152,159,166,173,180,187,194
E-lisiere,145,152,159,166,173,180,187,194
F-foret,145,152,159,166,173,180,187,194
F-lisiere,145,152,159,166,173,180,187,194
Francine-3,NA,152,159,166,173,180,187,194
G-foret,145,152,159,166,173,180,187,194
G-lisiere,145,152,159,166,173,180,187,194
H-lisiere,145,152,159,166,173,180,187,194
J-foret,146,152,159,166,173,180,187,193
J-lisiere,146,152,159,161,173,180,187,193
K-foret,146,151,159,166,173,180,187,193
K-lisiere,146,152,159,166,173,180,187,193
L-foret_O-lisiere,146,152,159,166,173,180,187,193
L-lisiere,146,152,159,166,173,180,187,193
M-foret,148,152,159,166,173,180,187,193
M-lisiere,148,152,159,166,173,180,187,193
N-foret,148,152,159,166,173,180,187,193
N-lisiere,148,152,159,166,173,180,187,193
P-lisiere,145,152,159,166,173,180,187,194
Q-lisiere,145,152,159,166,173,180,187,194
W-lisiere,NA,152,159,166,173,180,187,193
X-foret_X-lisiere,NA,155,159,166,173,180,187,193
Y-lisiere,NA,154,159,166,173,180,187,193
Z-lisiere,NA,154,159,166,173,180,187,193
