Site,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16
C-foret,109,116,123,130,137,144,151,158,165,172,179,186,193,200,207,NA
C-lisiere,109,116,123,130,137,144,151,158,165,172,179,186,193,200,207,NA
E-foret,110,116,123,130,137,144,151,158,165,172,179,186,193,200,207,214
E-lisiere,110,116,123,130,137,144,151,158,165,172,179,186,193,200,207,214
F-foret,110,116,123,130,137,144,151,158,165,172,179,186,193,200,207,214
F-lisiere,110,116,123,130,137,144,151,158,165,172,179,186,193,200,207,214
Francine-3,112,116,123,130,137,144,151,158,165,172,179,186,193,200,207,NA
G-foret,NA,117,123,130,137,144,151,158,165,172,179,186,193,200,207,214
G-lisiere,110,116,123,130,137,144,151,158,165,172,179,186,193,200,207,214
H-lisiere,110,116,123,130,137,144,151,158,165,172,179,186,193,200,207,NA
J-foret,113,116,123,130,137,144,151,158,165,172,179,186,193,200,207,NA
J-lisiere,113,116,123,130,137,144,151,158,165,172,179,186,193,200,207,NA
K-foret,113,116,123,130,137,144,151,158,165,172,179,186,193,200,207,NA
K-lisiere,113,116,123,130,137,144,151,157,165,172,179,186,NA,200,207,NA
L-foret_O-lisiere,112,116,123,130,137,144,151,158,165,172,179,186,193,200,207,NA
L-lisiere,112,116,123,130,137,144,151,158,165,172,179,186,193,200,207,NA
M-foret,109,116,123,130,137,144,151,158,165,172,179,186,193,200,207,NA
M-lisiere,109,116,123,130,137,144,151,158,165,172,179,186,193,200,207,NA
N-foret,109,116,123,130,137,144,151,158,165,172,179,186,193,200,207,NA
N-lisiere,109,116,123,130,137,144,151,158,165,172,179,186,193,200,207,NA
P-lisiere,112,116,123,130,137,144,151,158,165,172,179,186,193,200,207,NA
Q-lisiere,112,116,123,130,137,144,151,158,165,172,179,186,193,200,207,NA
W-lisiere,112,116,123,130,137,144,151,158,165,172,179,186,193,200,207,NA
X-foret_X-lisiere,113,116,123,130,137,144,151,158,165,172,179,186,193,200,207,NA
Y-lisiere,112,116,123,130,137,144,151,158,165,172,179,186,193,200,207,NA
Z-lisiere,112,116,123,130,137,144,151,158,165,172,179,186,193,200,207,NA
