"Enregistre","Eau peu profonde","Marais","Marécage","Marécage arborescent","Milieu humide","Tourbière boisée indifférenciée","Tourbière boisée minérotrophe","Tourbière ouverte minérotrophe","Tourbiere"
"C-foret",0,0,60673.9279981981,0,0,0,201468.722157828,0,201468.722157828
"C-lisiere",0,0,56705.6532250487,0,0,0,164440.782434423,0,164440.782434423
"E-foret",0,0,6891.63556411973,0,0,263820.293404011,11703.4820712629,0,275523.775475274
"E-lisiere",0,0,15355.1505891152,0,45.7664869377622,174884.324236668,55938.8142823207,5407.57506868785,236230.713587677
"F-foret",0,35328.176446465,5291.44287418947,0,0,212278.602545074,1147.63457147591,28570.2272652602,241996.46438181
"F-lisiere",0,0,31807.8345406011,0,0,167827.161939805,1371.29308246356,799.333359880373,169997.788382149
"Francine-3",0,0,115707.295020319,0,0,0,7453.02984269173,116178.208106542,123631.237949234
"G-foret",0,0,130549.762249962,0,0,116971.507511804,0,0,116971.507511804
"G-lisiere",0,0,152093.701241705,0,1247.75788201048,75787.9616996758,11281.8701994548,0,87069.8318991306
"H-lisiere",0,0,22916.5506373275,0,0,16139.2312255219,14117.2588073813,131818.948738129,162075.438771032
"J-foret",0,17.6141844494268,167489.464587058,0,0,0,0,75087.1196096229,75087.1196096229
"J-lisiere",0,0,197456.231278145,627.299431809224,0,0,0,5482.86568792886,5482.86568792886
"K-foret",0,0,142361.408915965,0,0,0,0,140419.311050909,140419.311050909
"K-lisiere",0,0,202314.918230626,0,0,0,0,31876.5071386016,31876.5071386016
"L-foret_O-lisiere",0,0,135042.773336347,0,0,54695.8737545667,0,30665.0227129436,85360.8964675103
"L-lisiere",0,0,153348.545641852,0,0,8373.14858039003,0,37396.6824230424,45769.8310034324
"M-foret",61.8515295833349,37480.2283611381,0,0,0,18841.4899511265,0,0,18841.4899511265
"M-lisiere",0,53839.4420743049,0,0,0,25534.1139353248,0,0,25534.1139353248
"N-foret",0,0,0,0,0,0,0,0,0
"N-lisiere",81992.5882036955,30403.3609326386,0,0,0,0,0,0,0
"P-lisiere",0,0,201737.928308631,0,0,0,0,20682.5835343455,20682.5835343455
"Q-lisiere",0,0,91066.8810626257,0,0,0,11731.6708579015,85404.1939572818,97135.8648151833
"W-lisiere",0,0,172932.856953371,0,0,8124.63946287427,0,7192.91980286455,15317.5592657388
"X-foret_X-lisiere",0,0,145377.071730144,0,0,0,0,137403.668499164,137403.668499164
"Y-lisiere",0,0,125942.841495241,0,0,15396.9351608679,0,58951.6477950735,74348.5829559414
"Z-lisiere",0,50670.1764865028,133738.74636273,8939.44937784435,0,0,0,2713.84112457623,2713.84112457623
