Site,V1,V2,V3,V4,V5,V6,V7,V8,V9
C-foret,2021,2021,2021,2021,2021,2021,2021,NA,NA
C-lisiere,2021,2021,2021,2021,2021,2021,2021,NA,NA
E-foret,2021,2021,2021,2021,2021,2021,2021,NA,NA
E-lisiere,2021,2021,2021,2021,2021,2021,2021,NA,NA
F-foret,2021,2021,2021,2021,2021,2021,2021,NA,NA
F-lisiere,2021,2021,2021,2021,2021,2021,2021,NA,NA
Francine-3,NA,2021,2021,2021,2021,2021,2021,NA,NA
G-foret,2021,2021,2021,2021,2021,2021,2021,NA,NA
G-lisiere,2021,2021,2021,2021,2021,2021,2021,NA,NA
H-lisiere,2021,2021,2021,2021,2021,2021,2021,NA,NA
J-foret,2021,2021,2021,2021,2021,2021,2021,NA,NA
J-lisiere,2021,2021,2021,NA,2021,2021,2021,NA,NA
K-foret,2021,2021,2021,2021,2021,2021,2021,NA,NA
K-lisiere,2021,2021,2021,2021,2021,2021,2021,NA,NA
L-foret_O-lisiere,2021,2021,2021,2021,2021,2021,2021,NA,NA
L-lisiere,2021,2021,2021,2021,2021,2021,2021,NA,NA
M-foret,2021,2021,2021,2021,2021,2021,2021,NA,NA
M-lisiere,2021,2021,2021,2021,2021,2021,2021,NA,NA
N-foret,2021,2021,2021,2021,2021,2021,2021,NA,NA
N-lisiere,2021,2021,2021,2021,2021,2021,2021,NA,NA
P-lisiere,2021,2021,2021,2021,2021,2021,2021,NA,NA
Q-lisiere,2021,2021,2021,2021,2021,2021,2021,NA,NA
W-lisiere,NA,2021,2021,2021,2021,2021,2021,NA,NA
X-foret_X-lisiere,NA,2021,2021,2021,2021,2021,2021,NA,NA
Y-lisiere,NA,2021,2021,2021,2021,2021,2021,NA,NA
Z-lisiere,NA,2021,2021,2021,2021,2021,2021,NA,NA
C-foret,2022,2022,2022,2022,2022,2022,2022,2022,2022
C-lisiere,2022,2022,2022,2022,2022,2022,2022,2022,2022
E-foret,2022,2022,2022,2022,2022,2022,2022,2022,2022
E-lisiere,2022,2022,2022,2022,2022,2022,2022,2022,2022
F-foret,2022,2022,2022,2022,2022,2022,2022,2022,2022
F-lisiere,2022,2022,2022,2022,2022,2022,2022,2022,2022
Francine-3,2022,2022,2022,2022,2022,2022,2022,2022,2022
G-foret,2022,2022,2022,2022,2022,2022,2022,2022,2022
G-lisiere,2022,2022,2022,2022,2022,2022,2022,2022,2022
H-lisiere,2022,2022,2022,2022,2022,2022,2022,2022,2022
J-foret,2022,2022,2022,2022,2022,2022,2022,2022,2022
J-lisiere,2022,2022,2022,2022,2022,2022,2022,2022,2022
K-foret,2022,2022,2022,2022,2022,2022,2022,2022,2022
K-lisiere,2022,2022,2022,2022,2022,2022,2022,NA,2022
L-foret_O-lisiere,2022,2022,2022,2022,2022,2022,2022,2022,2022
L-lisiere,2022,2022,2022,2022,2022,2022,2022,2022,2022
M-foret,2022,2022,2022,2022,2022,2022,2022,2022,2022
M-lisiere,2022,2022,2022,2022,2022,2022,2022,2022,2022
N-foret,2022,2022,2022,2022,2022,2022,2022,2022,2022
N-lisiere,2022,2022,2022,2022,2022,2022,2022,2022,2022
P-lisiere,2022,2022,2022,2022,2022,2022,2022,2022,2022
Q-lisiere,2022,2022,2022,2022,2022,2022,2022,2022,2022
W-lisiere,2022,2022,2022,2022,2022,2022,2022,2022,2022
X-foret_X-lisiere,2022,2022,2022,2022,2022,2022,2022,2022,2022
Y-lisiere,2022,2022,2022,2022,2022,2022,2022,2022,2022
Z-lisiere,2022,2022,2022,2022,2022,2022,2022,2022,2022
