"code","utilisation"
20,"Eau"
21,"Lac"
22,"Mare et/ou eau peu profonde"
23,"Réservoir"
24,"Cours d'eau"
25,"Eau salée"
26,"Eau saumâtre"
27,"Lac de thermokartz"
29,"Neige et glace permanentes; combe à neige"
30,"Sol nu; roc-sol à nu; sol dénudé ou semi-dénudé sec"
31,"Champs de bloc"
50,"Forêt ou arbustaie improductive"
51,"Aulnaie"
52,"Arbustaie basse et mares de thermokarst"
53,"Arbustaie arctique basse (0.3 à 1 m)"
54,"Forêt arbustive haute (> 2 m)"
55,"Friche"
56,"Arbustaie arctique haute (> 1 m)"
57,"Forêt arbustive basse (< 2 m)"
60,"Lande à lichens"
61,"Lande à lichens et arbustes"
62,"Lande subarctique"
63,"Lande subarctique avec 30 à 70 % d’arbustes"
64,"Lande rocheuse"
65,"Lande à éricacées"
66,"Lande herbacée"
67,"Lande à mousse"
68,"Lande alpine"
71,"Toundra à arbustes dressés"
72,"Toundra à arbustes dressés avec ostioles"
73,"Toundra à arbustes dressés avec 30 à 70 % d’arbustes"
74,"Toundra à arbustes dressés avec ostioles et 30 à 70 % d’arbustes"
75,"Toundra à arbustes prostrés"
76,"Toundra à arbustes prostrés avec ostioles"
77,"Toundra herbacée avec arbustes prostrés"
101,"Serre"
120,"Agriculture indifférenciée"
122,"Culture pérenne et pâturage"
131,"Jachère"
132,"Autre céréale"
133,"Orge"
134,"Sorgho"
135,"Millet"
136,"Avoine"
137,"Seigle"
138,"Épeautre"
139,"Triticale"
140,"Blé"
141,"Panic érigé"
147,"Maïs"
153,"Canola ou colza"
154,"Graine de lin"
157,"Tournesol"
158,"Soya"
160,"Autre légumineuse"
162,"Pois"
167,"Haricot"
168,"Laitue"
169,"Ail/Oignon/Poireau"
170,"Carotte/Panais"
171,"Cucurbitacée"
172,"Crucifère (feuilles)"
173,"Légume à fruits"
175,"Autre légume"
176,"Crucifère (racines)"
177,"Pomme de terre"
178,"Betterave à sucre"
180,"Autre fruit"
181,"Baie"
182,"Canneberge"
183,"Bleuet"
188,"Verger"
190,"Vignoble"
192,"Gazonnière"
193,"Fines herbes"
194,"Pépinière"
195,"Sarrasin"
197,"Chanvre"
210,"Forêt de conifères"
211,"Forêt de conifères dense"
212,"Forêt de conifères avec arbustes décidus"
213,"Forêt de conifères clairsemée"
214,"Forêt de conifères sur lichens"
215,"Forêt de conifères ouverte"
216,"Forêt de conifères sur lichens et mousses"
218,"Forêt de conifères sur mousses et éricacées"
220,"Forêt de feuillus"
221,"Forêt de feuillus dense"
223,"Forêt de feuillus clairsemée"
225,"Forêt de feuillus ouverte"
230,"Forêt mixte"
231,"Forêt mixte dense"
233,"Forêt mixte clairsemée"
235,"Forêt mixte ouverte"
250,"Opération forestière"
253,"Coupe forestière"
255,"Plantation"
256,"Plantation de feuillus indigènes"
257,"Plantation mélangée indigène"
258,"Plantation de résineux indigènes"
259,"Plantation de feuillus exotiques"
260,"Plantation mélangée exotique"
261,"Plantation de résineux exotiques"
263,"Brûlis"
280,"Perturbation naturelle"
300,"Autre terrain"
301,"Zone développée"
312,"Pistes de ski alpin"
313,"Golf"
320,"Route ou chemin"
321,"Aéroport"
322,"Chemin de fer"
341,"Carrière ou gravière"
343,"Mine et déchet de mine"
344,"Bassin de filtration; de décontamination; de déchets liquides; etc."
345,"Dépotoir"
346,"Zone industrielle et commerce"
351,"Ligne de transmission ou de transport d'énergie"
360,"Exploitation de tourbe"
501,"Bouleau gris"
502,"Bouleau gris associé à des pins"
503,"Bouleau gris associé à des résineux tolérants"
504,"Bouleau gris associé à des résineux"
505,"Bouleau jaune"
506,"Bouleau jaune associé à des épinettes noire ou rouge"
507,"Bouleau jaune associé à du mélèze laricin"
508,"Bouleau jaune associé à des pins"
509,"Bouleau jaune associé à de la pruche du Canada"
510,"Bouleau jaune associé à des résineux"
511,"Bouleau jaune associé à des sapin baumier et/ou épinette blanche"
512,"Bouleau jaune associé à des sapin baumier et épinette noire"
513,"Bouleau jaune associé à du thuyas occidental"
514,"Bouleau blanc"
515,"Bouleau blanc associé à des épinettes noire ou rouge"
516,"Bouleau blanc associé à des pins"
517,"Bouleau blanc associé à des résineux tolérants"
518,"Bouleau blanc associé à des résineux"
519,"Bouleau blanc associé à des sapin baumier et/ou épinette blanche"
520,"Caryer cordiforme"
521,"Chênes"
522,"Chênes associés à des pins"
523,"Chênes associés à des résineux tolérants"
524,"Chênes associés à des résineux"
525,"Cerisier tardif"
526,"Cerisier tardif associé à des pins"
527,"Cerisier tardif associé à des résineux tolérants"
528,"Cerisier tardif associé à des résineux"
529,"Érable argenté"
530,"Érable argenté associé à des pins"
531,"Érable argenté associé à des résineux tolérants"
532,"Érable argenté associé à des résineux"
533,"Épinette blanche"
534,"Épinette blanche associée à des feuillus intolérants"
535,"Épinette blanche associée à des feuillus tolérants"
536,"Épinette blanche associée à des feuillus indéterminés"
537,"Érable noir"
538,"Épinette noire"
539,"Épinette noire associée à de l'épinette blanche"
540,"Épinette noire associée à des feuillus intolérants"
541,"Épinette noire associée à des feuillus tolérants"
542,"Épinette noire associée à des feuillus indéterminés"
543,"Épinette noire associée à du mélèze laricin"
544,"Épinette noire associée à des pins"
545,"Épinette noire associée à du sapin baumier"
546,"Épinette noire associée à des sapin baumier et/ou épinette blanche"
547,"Érable rouge"
548,"Érable rouge associé à des épinettes noire ou rouge"
549,"Érable rouge associé à du mélèze laricin"
550,"Érable rouge associé à des pins"
551,"Érable rouge associé à de la pruche du Canada"
552,"Érable rouge associé à des résineux"
553,"Érable rouge associé à des sapin baumier et/ou épinette blanche"
554,"Érable rouge associé à du thuyas occidental"
555,"Épinettes noire ou rouge"
556,"Épinettes noire ou rouge associés à de l'épinette blanche"
557,"Épinettes noire ou rouge associés à des feuillus intolérants"
558,"Épinettes noire ou rouge associés à des feuillus tolérants"
559,"Épinettes noire ou rouge associés à des feuillus indéterminés"
560,"Épinettes noire ou rouge associés à du mélèze laricin"
561,"Épinettes noire ou rouge associés à des pins"
562,"Épinettes noire ou rouge associés à du sapin baumier"
563,"Épinettes noire ou rouge associés à des sapin baumier et/ou épinette blanche"
564,"Épinettes noire ou rouge associés à du thuyas occidental"
565,"Érables"
566,"Érables associés à du bouleau jaune"
567,"Érables associés à des épinettes noire ou rouge"
568,"Érables associés à du mélèze laricin"
569,"Érables associés à des pins"
570,"Érables associés à de la pruche du Canada"
571,"Érables associés à des résineux"
572,"Érables associés à des sapin baumier et/ou épinette blanche"
573,"Érables associés à du thuyas occidental"
574,"Érable à sucre"
575,"Érable à sucre associé à du bouleau jaune"
576,"Érable à sucre associé à des épinettes noire ou rouge"
577,"Érable à sucre associé à du mélèze laricin"
578,"Érable à sucre associé à des pins"
579,"Érable à sucre associé à de la pruche du Canada"
580,"Érable à sucre associé à des résineux"
581,"Érable à sucre associé à des sapin baumier et/ou épinette blanche"
582,"Érable à sucre associé à du thuyas occidental"
583,"Épinette rouge"
584,"Épinette rouge associée à du bouleau jaune"
585,"Épinette rouge associée à des feuillus intolérants"
586,"Épinette rouge associée à des feuillus tolérants"
587,"Épinette rouge associée à des feuillus indéterminés"
588,"Épinette rouge associée à du mélèze laricin"
589,"Épinette rouge associée à des pins"
590,"Épinette rouge associée à des sapin baumier et/ou épinette blanche"
591,"Frêne d'Amérique"
592,"Frêne d'Amérique associé à des pins"
593,"Frêne d'Amérique associé à des résineux tolérants"
594,"Frêne d'Amérique associé à des résineux"
595,"Feuillus intolérants"
596,"Feuillus intolérants associés à des épinettes noire ou rouge"
597,"Feuillus intolérants associés à du mélèze laricin"
598,"Feuillus intolérants associés à des pins"
599,"Feuillus intolérants associés à de la pruche du Canada"
600,"Feuillus intolérants associés à des résineux"
601,"Feuillus intolérants associés à des sapin baumier et/ou épinette blanche"
602,"Feuillus intolérants associés à du thuyas occidental"
603,"Frêne noir"
604,"Frêne noir associé à des pins"
605,"Frêne noir associé à des résineux tolérants"
606,"Frêne noir associé à des résineux"
607,"Frêne de Pennsylvanie"
608,"Frêne de Pennsylvanie associé à des pins"
609,"Frêne de Pennsylvanie associé à des résineux tolérants"
610,"Frêne de Pennsylvanie associé à des résineux"
611,"Frênes"
612,"Frênes associés à des pins"
613,"Frênes associés à des résineux tolérants"
614,"Frênes associés à des résineux"
615,"Feuillus tolérants"
616,"Feuillus tolérants associés à des épinettes noire ou rouge"
617,"Feuillus tolérants associés à du mélèze laricin"
618,"Feuillus tolérants associés à des pins"
619,"Feuillus tolérants associés à de la pruche du Canada"
620,"Feuillus tolérants associés à des résineux"
621,"Feuillus tolérants associés à des sapin baumier et/ou épinette blanche"
622,"Feuillus tolérants associés à du thuyas occidental"
623,"Feuillus indéterminés"
624,"Feuillus indéterminés associés à des épinettes noire ou rouge"
625,"Feuillus indéterminés associés à du mélèze laricin"
626,"Feuillus indéterminés associés à des pins"
627,"Feuillus indéterminés associés à de la pruche du Canada"
628,"Feuillus indéterminés associés à des sapin baumier et/ou épinette blanche"
629,"Feuillus indéterminés associés à du thuyas occidental"
630,"Hêtre à grandes feuilles"
631,"Hêtre à grandes feuilles associé à des pins"
632,"Hêtre à grandes feuilles associé à des résineux tolérants"
633,"Hêtre à grandes feuilles associé à des résineux"
634,"Mélèze laricin"
635,"Mélèze laricin associé à des feuillus intolérants"
636,"Mélèze laricin associé à des feuillus tolérants"
637,"Mélèze laricin associé à des feuillus indéterminés"
638,"Forêt mixte"
639,"Noyer cendré"
640,"Noyer cendré associé à des pins"
641,"Noyer cendré associé à des résineux tolérants"
642,"Noyer cendré associé à des résineux"
643,"Ormes"
644,"Ormes associés à des pins"
645,"Ormes associés à des résineux tolérants"
646,"Ormes associés à des résineux"
647,"Ostryer de Virginie"
648,"Ostryer de Virginie associé à des pins"
649,"Ostryer de Virginie associé à des résineux tolérants"
650,"Ostryer de Virginie associé à des résineux"
651,"Pin blanc"
652,"Pin blanc associé à du bouleau jaune"
653,"Pin blanc associé à des érables"
654,"Pin blanc associé à des feuillus intolérants"
655,"Pin blanc associé à des feuillus tolérants"
656,"Pin blanc associé à des feuillus indéterminés"
657,"Pin rigide"
658,"Peupliers"
659,"Peupliers associés à des épinettes noire ou rouge"
660,"Peupliers associés à des pins"
661,"Peupliers associés à des résineux tolérants"
662,"Peupliers associés à des résineux"
663,"Peupliers associés à des sapin baumier et/ou épinette blanche"
664,"Pin gris"
665,"Pin gris associé à des feuillus intolérants"
666,"Pin gris associé à des feuillus tolérants"
667,"Pin gris associé à des feuillus indéterminés"
668,"Pins"
669,"Pins associés à des feuillus intolérants"
670,"Pins associés à des feuillus tolérants"
671,"Pins associés à des feuillus indéterminés"
672,"Pin rouge"
673,"Pin rouge associé à du bouleau jaune"
674,"Pin rouge associé à des chênes"
675,"Pin rouge associé à des érables"
676,"Pin rouge associé à des feuillus intolérants"
677,"Pin rouge associé à des feuillus tolérants"
678,"Pin rouge associé à des feuillus indéterminés"
679,"Pin rouge associé à du hêtre à grandes feuilles"
680,"Pin rouge associé à du noyer cendré"
681,"Pin rouge associé à des ormes"
682,"Pin rouge associé à de l'ostryer de Virginie"
683,"Pin rouge associé à du tilleul d'Amérique"
684,"Épinette noire et sapin baumier associés à des feuillus intolérants"
685,"Épinette noire et sapin baumier associés à des feuillus tolérants"
686,"Épinette noire et sapin baumier associés à des feuillus indéterminés"
687,"Pruche du Canada"
688,"Pruche du Canada associée à du bouleau jaune"
689,"Pruche du Canada associée à des érables"
690,"Pruche du Canada associée à des feuillus intolérants"
691,"Pruche du Canada associée à des feuillus tolérants"
692,"Pruche du Canada associée à des feuillus indéterminés"
693,"Résineux"
694,"Résineux associés à du bouleau jaune"
695,"Résineux associés à des érables"
696,"Résineux associés à des feuillus intolérants"
697,"Résineux associés à des feuillus tolérants"
698,"Résineux associés à des feuillus indéterminés"
699,"Sapin baumier"
700,"Sapin baumier associé à du bouleau jaune"
701,"Sapin baumier associé à des épinettes noire ou rouge"
702,"Sapin baumier associé à des érables"
703,"Sapin baumier associé à des feuillus intolérants"
704,"Sapin baumier associé à des feuillus tolérants"
705,"Sapin baumier associé à des feuillus indéterminés"
706,"Sapin baumier associé à du thuyas occidental"
707,"Sapin baumier et/ou épinette blanche"
708,"Sapin baumier et/ou épinette blanche associés à du bouleau jaune"
709,"Sapin baumier et/ou épinette blanche associés à de l'épinette noire"
710,"Sapin baumier et/ou épinette blanche associés à des épinettes noire ou rouge"
711,"Sapin baumier et/ou épinette blanche associés à des érables"
712,"Sapin baumier et/ou épinette blanche associés à des feuillus intolérants"
713,"Sapin baumier et/ou épinette blanche associés à des feuillus tolérants"
714,"Sapin baumier et/ou épinette blanche associés à des feuillus indéterminés"
715,"Sapin baumier et épinette noire associés à du bouleau jaune"
716,"Sapin baumier et épinette noire associés à des érables"
717,"Sapin baumier et épinette noire associés à des feuillus intolérants"
718,"Sapin baumier et épinette noire associés à des feuillus tolérants"
719,"Sapin baumier et épinette noire associés à des feuillus indéterminés"
720,"Tilleul d'Amérique"
721,"Tilleul d'Amérique associé à des pins"
722,"Tilleul d'Amérique associé à des résineux tolérants"
723,"Tilleul d'Amérique associé à des résineux"
724,"Thuyas occidental"
725,"Thuyas occidental associé à du bouleau jaune"
726,"Thuyas occidental associé à des érables"
727,"Thuyas occidental associé à des feuillus intolérants"
728,"Thuyas occidental associé à des feuillus tolérants"
729,"Thuyas occidental associé à des feuillus indéterminés"
730,"Peuplement issu d'une plantation de feuillus indigènes"
731,"Peuplement issu d'une plantation mélangée indigène"
732,"Peuplement issu d'une plantation de résineux indigènes"
733,"Peuplement issu d'une plantation de feuillus exotiques"
734,"Peuplement issu d'une plantation mélangée exotique"
735,"Peuplement issu d'une plantation de résineux exotiques"
2000,"Tourbière"
2020,"Eau / Tourbière"
2021,"Lac / Tourbière"
2022,"Mare et/ou eau peu profonde / Tourbière"
2023,"Réservoir / Tourbière"
2024,"Cours d'eau / Tourbière"
2025,"Eau salée / Tourbière"
2026,"Eau saumâtre / Tourbière"
2027,"Lac de thermokartz / Tourbière"
2029,"Neige et glace permanentes; combe à neige / Tourbière"
2030,"Sol nu; roc-sol à nu; sol dénudé ou semi-dénudé sec / Tourbière"
2031,"Champs de bloc / Tourbière"
2050,"Forêt ou arbustaie improductive / Tourbière"
2051,"Aulnaie / Tourbière"
2052,"Arbustaie basse et mares de thermokarst / Tourbière"
2053,"Arbustaie arctique basse (0.3 à 1 m) / Tourbière"
2054,"Forêt arbustive haute (> 2 m) / Tourbière"
2055,"Friche / Tourbière"
2056,"Arbustaie arctique haute (> 1 m) / Tourbière"
2057,"Forêt arbustive haute (> 2 m) \ Tourbière"
2060,"Lande à lichens / Tourbière"
2061,"Lande à lichens et arbustes / Tourbière"
2062,"Lande subarctique / Tourbière"
2063,"Lande subarctique avec 30 à 70 % d’arbustes / Tourbière"
2064,"Lande rocheuse / Tourbière"
2065,"Lande à éricacées / Tourbière"
2066,"Lande herbacée / Tourbière"
2067,"Lande à mousse / Tourbière"
2068,"Lande alpine / Tourbière"
2071,"Toundra à arbustes dressés / Tourbière"
2072,"Toundra à arbustes dressés avec ostioles / Tourbière"
2073,"Toundra à arbustes dressés avec 30 à 70 % d’arbustes / Tourbière"
2074,"Toundra à arbustes dressés avec ostioles et 30 à 70 % d’arbustes / Tourbière"
2075,"Toundra à arbustes prostrés / Tourbière"
2076,"Toundra à arbustes prostrés avec ostioles / Tourbière"
2077,"Toundra herbacée avec arbustes prostrés / Tourbière"
2101,"Serre / Tourbière"
2120,"Agriculture indifférenciée / Tourbière"
2122,"Culture pérenne et pâturage / Tourbière"
2131,"Jachère / Tourbière"
2132,"Autre céréale / Tourbière"
2133,"Orge / Tourbière"
2134,"Sorgho / Tourbière"
2135,"Millet / Tourbière"
2136,"Avoine / Tourbière"
2137,"Seigle / Tourbière"
2138,"Épeautre / Tourbière"
2139,"Triticale / Tourbière"
2140,"Blé / Tourbière"
2141,"Panic érigé / Tourbière"
2147,"Maïs / Tourbière"
2153,"Canola ou colza / Tourbière"
2154,"Graine de lin / Tourbière"
2157,"Tournesol / Tourbière"
2158,"Soya / Tourbière"
2160,"Autre légumineuse / Tourbière"
2162,"Pois / Tourbière"
2167,"Haricot / Tourbière"
2168,"Laitue / Tourbière"
2169,"Ail/Oignon/Poireau / Tourbière"
2170,"Carotte/Panais / Tourbière"
2171,"Cucurbitacée / Tourbière"
2172,"Crucifère (feuilles) / Tourbière"
2173,"Légume à fruits / Tourbière"
2175,"Autre légume / Tourbière"
2176,"Crucifère (racines) / Tourbière"
2177,"Pomme de terre / Tourbière"
2178,"Betterave à sucre / Tourbière"
2180,"Autre fruit / Tourbière"
2181,"Baie / Tourbière"
2182,"Canneberge / Tourbière"
2183,"Bleuet / Tourbière"
2188,"Verger / Tourbière"
2190,"Vignoble / Tourbière"
2192,"Gazonnière / Tourbière"
2193,"Fines herbes / Tourbière"
2194,"Pépinière / Tourbière"
2195,"Sarrasin / Tourbière"
2197,"Chanvre / Tourbière"
2210,"Forêt de conifères / Tourbière"
2211,"Forêt de conifères dense / Tourbière"
2212,"Forêt de conifères avec arbustes décidus / Tourbière"
2213,"Forêt de conifères clairsemée / Tourbière"
2214,"Forêt de conifères sur lichens / Tourbière"
2215,"Forêt de conifères ouverte / Tourbière"
2216,"Forêt de conifères sur lichens et mousses / Tourbière"
2218,"Forêt de conifères sur mousses et éricacées / Tourbière"
2220,"Forêt de feuillus / Tourbière"
2221,"Forêt de feuillus dense / Tourbière"
2223,"Forêt de feuillus clairsemée / Tourbière"
2225,"Forêt de feuillus ouverte / Tourbière"
2230,"Forêt mixte / Tourbière"
2231,"Forêt mixte dense / Tourbière"
2233,"Forêt mixte clairsemée / Tourbière"
2235,"Forêt mixte ouverte / Tourbière"
2250,"Opération forestière / Tourbière"
2253,"Coupe forestière / Tourbière"
2255,"Plantation / Tourbière"
2256,"Plantation de feuillus indigènes / Tourbière"
2257,"Plantation mélangée indigène / Tourbière"
2258,"Plantation de résineux indigènes / Tourbière"
2259,"Plantation de feuillus exotiques / Tourbière"
2260,"Plantation mélangée exotique / Tourbière"
2261,"Plantation de résineux exotiques / Tourbière"
