"Site","V1","V2","V3","V4","V5","V6","V7","V8"
"C-foret","wind","rain","wind","wind","wind","rain","human","wind"
"C-lisiere","wind","rain","human","wind","wind","none","human","wind"
"E-foret","wind","none","human","rain","wind","none","none","wind"
"E-lisiere","rain","rain","human","rain","none","none","rain","wind"
"F-foret","wind","rain","human","wind","rain","none","wind","wind"
"F-lisiere","wind","none","human","wind","none","human","wind","wind"
"Francine-3",NA,"rain","wind","rain","none","none","wind","wind"
"G-foret","wind","none","none","rain","none","none","rain","wind"
"G-lisiere","wind","rain","human","wind","none","none","wind","wind"
"H-lisiere","wind","none","wind","wind","none","none","wind","wind"
"J-foret","wind","human","wind","rain","none","rain","wind","wind"
"J-lisiere","wind","human","wind",NA,"none","none","wind","none"
"K-foret","wind","wind","human","wind","none","none","wind","none"
"K-lisiere","wind","none","human","rain","wind","none","human","human"
"L-foret_O-lisiere","wind","none","wind","human","human","human","human","human"
"L-lisiere","wind","human","wind","rain","human","none","wind","human"
"M-foret","none","human","wind","wind","human","human","human","human"
"M-lisiere","human","human","human","human","human","human","rain","rain"
"N-foret","human","human","wind","rain","human","human","rain","rain"
"N-lisiere","human","human","wind","human","human","human","human","none"
"P-lisiere","wind","none","wind","rain","none","none","rain","wind"
"Q-lisiere","wind","none","wind","wind","wind","wind","wind","wind"
"W-lisiere",NA,"none","wind","wind","wind","none","wind","none"
"X-foret_X-lisiere",NA,"wind","wind","rain","none","wind","wind","human"
"Y-lisiere",NA,"wind","wind","wind","wind","none","wind","human"
"Z-lisiere",NA,"wind","wind","wind","human","none","none","none"
