"Site","108","109","111","112","115","116","122","129","136","143","150","156","157","164","171","178","185","192","199","206","213"
"C-foret","1",NA,NA,NA,"1",NA,"1","1","1","1","1",NA,"3","0","1","1","3","1","1","1",NA
"C-lisiere","1",NA,NA,NA,"1",NA,"3","1","1","1","1",NA,"3","1","1","1","3","1","1","3",NA
"E-foret",NA,"3",NA,NA,"1",NA,"1","1","3","0","3",NA,"3","0","3","1","3","3","3","3","2"
"E-lisiere",NA,"3",NA,NA,"1",NA,"1","1","3","1","3",NA,"3","3","3","3","3","3","3","1","3"
"F-foret",NA,"3",NA,NA,"1",NA,"1","0","3","3","3",NA,"3","1","3","3","3","3","3","1","3"
"F-lisiere",NA,"3",NA,NA,"1",NA,"1","1","3","0","3",NA,"3","0","3","3","3","3","3","1","3"
"Francine-3",NA,NA,"3",NA,"1",NA,"1","1","3","1","1",NA,"3","1","3","1","3","3","3","3",NA
"G-foret",NA,NA,NA,NA,NA,"3","1","1","3","3","1",NA,"3","1","3","1","3","3","3","3","3"
"G-lisiere",NA,"3",NA,NA,"1",NA,"1","0","3","1","1",NA,"3","1","3","3","1","3","3","3","3"
"H-lisiere",NA,"3",NA,NA,"1",NA,"0","1","3","1","1",NA,"3","1","1","1","1","3","3","3",NA
"J-foret",NA,NA,NA,"3","1",NA,"1","0","1","1","1",NA,"3","1","1","3","1","3","3","3",NA
"J-lisiere",NA,NA,NA,"1","1",NA,"1","0","3","1","1",NA,"3","0","1","1","1","1","3","1",NA
"K-foret",NA,NA,NA,"3","0",NA,"1","1","3","1","1",NA,"3","1","1","1","1","1","3","1",NA
"K-lisiere",NA,NA,NA,"1","1",NA,"1","0","3","1","1","1",NA,"1","1","1","1",NA,"3","1",NA
"L-foret_O-lisiere",NA,NA,"3",NA,"1",NA,"1","1","3","3","1",NA,"3","1","1","1","1","3","3","1",NA
"L-lisiere",NA,NA,"1",NA,"1",NA,"1","1","3","1","1",NA,"3","1","1","1","1","1","3","1",NA
"M-foret","1",NA,NA,NA,"1",NA,"1","1","1","1","3",NA,"3","1","1","1","1","1","1","3",NA
"M-lisiere","2",NA,NA,NA,"1",NA,"1","1","3","1","3",NA,"3","1","1","1","1","1","1","1",NA
"N-foret","3",NA,NA,NA,"3",NA,"3","1","3","3","3",NA,"3","1","1","1","1","1","1","1",NA
"N-lisiere","3",NA,NA,NA,"1",NA,"1","1","3","1","3",NA,"3","1","1","1","1","1","3","3",NA
"P-lisiere",NA,NA,"3",NA,"1",NA,"1","1","3","1","1",NA,"3","1","3","1","1","3","3","3",NA
"Q-lisiere",NA,NA,"3",NA,"1",NA,"1","1","3","1","3",NA,"3","1","1","1","3","3","3","3",NA
"W-lisiere",NA,NA,"3",NA,"1",NA,"1","1","3","1","3",NA,"3","3","1","3","3","3","3","1",NA
"X-foret_X-lisiere",NA,NA,NA,"0","1",NA,"1","1","3","1","1",NA,"3","3","3","3","1","3","3","1",NA
"Y-lisiere",NA,NA,"3",NA,"1",NA,"0","0","3","1","3",NA,"3","1","1","3","1","3","3","3",NA
"Z-lisiere",NA,NA,"1",NA,"1",NA,"0","1","3","1","1",NA,"3","1","1","1","3","3","3","1",NA
