"Site","109","110","112","113","116","117","122","123","130","137","144","151","157","158","165","172","179","186","193","200","207","214"
"C-foret","rain","0","0","0","rain","0","0","rain","none","wind","none","wind","0","rain","none","wind","none","rain","human","none","wind","0"
"C-lisiere","rain","0","0","0","none","0","0","rain","none","wind","none","none","0","wind","human","wind","wind","rain","wind","wind","wind","0"
"E-foret","0","none","0","0","human","0","0","rain","none","wind","none","none","0","wind","none","wind","none","rain","wind","none","none","none"
"E-lisiere","0","none","0","0","none","0","0","rain","none","wind","none","none","0","wind","none","wind","none","rain","wind","none","none","none"
"F-foret","0","none","0","0","human","0","human","rain","none","wind","none","human","0","wind","none","wind","none","rain","wind","none","none","none"
"F-lisiere","0","none","0","0","human","0","0","rain","none","wind","human","wind","0","wind","none","wind","none","rain","wind","none","none","none"
"Francine-3","0","0","none","0","none","0","0","rain","none","wind","wind","wind","0","wind","none","wind","human","rain","none","none","wind","0"
"G-foret","0","0","0","0","0","wind","0","rain","none","wind","rain","rain","0","wind","human","wind","wind","rain","wind","wind","human","none"
"G-lisiere","0","human","0","0","none","0","0","rain","none","wind","wind","rain","0","rain","human","wind","wind","rain","wind","wind","human","none"
"H-lisiere","0","none","0","0","none","0","0","rain","none","wind","human","rain","0","wind","human","wind","human","rain","wind","none","none","0"
"J-foret","0","0","0","none","none","0","0","rain","none","wind","none","none","0","wind","none","wind","none","rain","none","none","none","0"
"J-lisiere","0","0","0","none","none","0","0","rain","none","wind","none","human","0","wind","human","wind","rain","rain","wind","none","none","0"
"K-foret","0","0","0","none","none","0","0","rain","none","wind","none","human","0","wind","none","wind","none","rain","none","none","wind","0"
"K-lisiere","0","0","0","none","none","0","0","rain","human","wind","none","human","human","0","none","wind","none","rain","0","none","none","0"
"L-lisiere","0","0","none","0","none","0","0","rain","human","wind","human","human","0","wind","human","wind","human","rain","wind","none","none","0"
"M-foret","human","0","0","0","human","0","0","rain","human","wind","human","human","0","wind","human","wind","wind","rain","wind","human","human","0"
"M-lisiere","rain","0","0","0","rain","0","0","rain","rain","wind","human","human","0","wind","human","wind","rain","rain","rain","rain","none","0"
"N-foret","wind","0","0","0","wind","0","0","rain","rain","wind","wind","wind","0","wind","human","wind","wind","rain","wind","wind","human","0"
"N-lisiere","wind","0","0","0","human","0","0","rain","none","wind","human","human","0","wind","human","wind","none","rain","wind","human","human","0"
"O-lisiere","0","0","human","0","none","0","0","rain","human","wind","none","human","0","wind","human","wind","none","rain","none","human","none","0"
"P-lisiere","0","0","none","0","none","0","0","rain","none","wind","wind","wind","0","wind","none","wind","wind","rain","wind","none","wind","0"
"Q-lisiere","0","0","none","0","none","0","0","rain","human","wind","none","wind","0","wind","wind","wind","wind","rain","wind","none","wind","0"
"W-lisiere","0","0","none","0","rain","0","0","rain","human","wind","none","none","0","wind","wind","wind","wind","rain","wind","none","wind","0"
"X-lisiere","0","0","0","none","none","0","0","rain","none","wind","none","none","0","wind","none","wind","rain","rain","wind","none","wind","0"
"Y-lisiere","0","0","wind","0","none","0","0","rain","none","wind","none","none","0","wind","human","wind","wind","rain","human","none","wind","0"
"Z-lisiere","0","0","none","0","none","0","0","rain","human","wind","none","none","0","wind","human","wind","none","rain","wind","none","none","0"
