"Site","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"C-foret","1","1","1","1","1","1","1","2","1","3 et 2","1","2","3 et 1","1","1",NA
"C-lisiere","1","1","1","1","1","1","1","2","1","3","1","2","3","1","1",NA
"E-foret","1","none","1","1","3","none","3","2","1","2","none","2","3","1","1","3"
"E-lisiere","1","1","none","none","3","1","3","2","1","2","none","2","3","none","1","3"
"F-foret","none","1","none","none","3","none","3","3","none","2","1","2","3","none","none","3"
"F-lisiere","none","none","1","1","3","1","3","2","none","2","1","2","3","1","none","3"
"Francine-3","none","1","3","1","3","1","3","3","1","3","1","2","1","1","1",NA
"G-foret",NA,"3","none","1","3","1","3","2","1","2","none","2","3","1","1","1"
"G-lisiere","1","none","none","1","3","1","1","2","1","2","none","3","3","none","none","3"
"H-lisiere","3","1","none","1","3","none","1","2","1","3 et 2","1","2","3","1","1",NA
"J-foret","3","none","3","1","3","1","1","2","1","3","1","2","1","1","none",NA
"J-lisiere","none","none","none","1","3","1","3 et 1","2","none","2","none","2","3","none","1",NA
"K-foret","none","none","1","1","3","none","1","2","1","2","1","2","1","1","1",NA
"K-lisiere","none","none","1","none","3","1","3 et 1","1","1","2","1","2",NA,"1","1",NA
"L-foret_O-lisiere","3","none","1","1","3","1","1","2","1","2","1","2","2","1","none",NA
"L-lisiere","none","none","1","1","3","1","1","2","1","3","1","2","3","none","1",NA
"M-foret","3 et 1","1","1","1","3","1","1","2","1","2","1","2","3 et 1","1","3",NA
"M-lisiere","3 et 2","2","1","1","3 et 1","1","1","2","1","2","2","2","1","1","1",NA
"N-foret","3","3","3","3","3","1","3 et 1","2","1","2","1","2","3","1","1",NA
"N-lisiere","1","1","1","1","3 et 1","1","1","2","1","2","1","2","3","1","3",NA
"P-lisiere","none","1","3","none","3","1","3","2","3","3","1","2","3 et 1","1","1",NA
"Q-lisiere","1","1","3","1","3","1","3","2","3","3 et 2","1","2","1","1","1",NA
"W-lisiere","none","1","1","1","3","1","3 et 1","2","1","3","1","2","1","none","1",NA
"X-foret_X-lisiere","none","1","1","none","3","none","1","2","1","3 et 2","1","2","1","1","1",NA
"Y-lisiere","3","1","none","none","3","1","1","2","3","2","1","2","1","1","1",NA
"Z-lisiere","1","none","none","1","3","none","3","2","1","2","1","2","1","none","1",NA
