"V1","V2","V3","V4","V5","V6","V7","V8","V9"
"meteo","meteo","meteo","meteo","meteo","meteo","human",NA,NA
"meteo","meteo","human","meteo","meteo","none","human",NA,NA
"meteo","none","human","meteo","meteo","none","none",NA,NA
"meteo","meteo","human","meteo","none","none","meteo",NA,NA
"meteo","meteo","human","meteo","meteo","none","meteo",NA,NA
"meteo","none","human","meteo","none","human","meteo",NA,NA
NA,"meteo","meteo","meteo","none","none","meteo",NA,NA
"meteo","none","none","meteo","none","none","meteo",NA,NA
"meteo","meteo","human","meteo","none","none","meteo",NA,NA
"meteo","none","meteo","meteo","none","none","meteo",NA,NA
"meteo","human","meteo","meteo","none","meteo","meteo",NA,NA
"meteo","human","meteo",NA,"none","none","meteo",NA,NA
"meteo","meteo","human","meteo","none","none","meteo",NA,NA
"meteo","none","human","meteo","meteo","none","human",NA,NA
"meteo","none","meteo","human","human","human","human",NA,NA
"meteo","human","meteo","meteo","human","none","meteo",NA,NA
"none","human","meteo","meteo","human","human","human",NA,NA
"human","human","human","human","human","human","meteo",NA,NA
"human","human","meteo","meteo","human","human","meteo",NA,NA
"human","human","meteo","human","human","human","human",NA,NA
"meteo","none","meteo","meteo","none","none","meteo",NA,NA
"meteo","none","meteo","meteo","meteo","meteo","meteo",NA,NA
NA,"none","meteo","meteo","meteo","none","meteo",NA,NA
NA,"meteo","meteo","meteo","none","meteo","meteo",NA,NA
NA,"meteo","meteo","meteo","meteo","none","meteo",NA,NA
NA,"meteo","meteo","meteo","human","none","none",NA,NA
"none","meteo","meteo","none","meteo","none","meteo","human","none"
"none","none","meteo","human","meteo","meteo","meteo","meteo","meteo"
"none","none","meteo","none","meteo","none","meteo","meteo","none"
"none","none","meteo","none","meteo","none","meteo","meteo","none"
"none","human","meteo","none","meteo","none","meteo","meteo","none"
"human","meteo","meteo","none","meteo","none","meteo","meteo","none"
"meteo","meteo","meteo","none","meteo","human","meteo","none","none"
"meteo","meteo","meteo","human","meteo","meteo","meteo","meteo","meteo"
"meteo","meteo","meteo","human","meteo","meteo","meteo","meteo","meteo"
"human","meteo","meteo","human","meteo","human","meteo","meteo","none"
"none","none","meteo","none","meteo","none","meteo","none","none"
"none","human","meteo","human","meteo","meteo","meteo","meteo","none"
"none","human","meteo","none","meteo","none","meteo","none","none"
"none","human","human","none","meteo","none","meteo",NA,"none"
"none","human","meteo","human","meteo","none","meteo","none","human"
"human","human","meteo","human","meteo","human","meteo","meteo","none"
"human","human","meteo","human","meteo","meteo","meteo","meteo","human"
"human","human","meteo","human","meteo","meteo","meteo","meteo","meteo"
"meteo","meteo","meteo","human","meteo","meteo","meteo","meteo","meteo"
"human","human","meteo","human","meteo","none","meteo","meteo","human"
"meteo","meteo","meteo","none","meteo","meteo","meteo","meteo","none"
"none","meteo","meteo","meteo","meteo","meteo","meteo","meteo","none"
"none","none","meteo","meteo","meteo","meteo","meteo","meteo","none"
"none","none","meteo","none","meteo","meteo","meteo","meteo","none"
"none","none","meteo","human","meteo","meteo","meteo","human","none"
"none","none","meteo","human","meteo","none","meteo","meteo","none"
