fid,OBJECTID,SOURCE,CONFIANCE,SUPERFICIE,CLASSE,TYPE,PHYSIONOMI,SYS_TROPHI,PARTICULAR,Enregistre,Latitude,Longitude,Type_2,Milieu,surface
582,24835,OCCUP_SOL_BTSL,Excellent,0.226230017935893,Marécage,Marécage,,,,C-foret,45.059890000000003,-73.288010000000000,foret,foret,30394.1344675352
584,1736643,IEQM,Bon,0.027116218851167,Tourbière boisée minérotrophe,Tourbière,boisée,minérotrophe,,C-foret,45.059890000000003,-73.288010000000000,foret,foret,15026.5446821498
584,1736643,IEQM,Bon,0.027116218851167,Tourbière boisée minérotrophe,Tourbière,boisée,minérotrophe,,C-lisiere,45.062519999999999,-73.287289999999999,lisiere,foret,75.7043508179486
585,1736633,IEQM,Bon,0.161620608910347,Tourbière boisée minérotrophe,Tourbière,boisée,minérotrophe,,C-foret,45.059890000000003,-73.288010000000000,foret,foret,127446.321201084
585,1736633,IEQM,Bon,0.161620608910347,Tourbière boisée minérotrophe,Tourbière,boisée,minérotrophe,,C-lisiere,45.062519999999999,-73.287289999999999,lisiere,foret,119213.339419455
586,24869,OCCUP_SOL_BTSL,Excellent,0.019377641544577,Marécage,Marécage,,,,C-foret,45.059890000000003,-73.288010000000000,foret,foret,19377.6416170434
586,24869,OCCUP_SOL_BTSL,Excellent,0.019377641544577,Marécage,Marécage,,,,C-lisiere,45.062519999999999,-73.287289999999999,lisiere,foret,5718.59750174778
587,1736552,IEQM,Bon,0.051026516894261,Tourbière boisée minérotrophe,Tourbière,boisée,minérotrophe,,C-foret,45.059890000000003,-73.288010000000000,foret,foret,36937.1155364258
587,1736552,IEQM,Bon,0.051026516894261,Tourbière boisée minérotrophe,Tourbière,boisée,minérotrophe,,C-lisiere,45.062519999999999,-73.287289999999999,lisiere,foret,16760.6866763921
588,936881,IEQM,Bon,0.041096978208339,Tourbière boisée minérotrophe,Tourbière,boisée,minérotrophe,,C-foret,45.059890000000003,-73.288010000000000,foret,foret,6384.67743705562
588,936881,IEQM,Bon,0.041096978208339,Tourbière boisée minérotrophe,Tourbière,boisée,minérotrophe,,C-lisiere,45.062519999999999,-73.287289999999999,lisiere,foret,20870.6007987324
589,24929,OCCUP_SOL_BTSL,Excellent,0.014397196287603,Marécage,Marécage,,,,C-foret,45.059890000000003,-73.288010000000000,foret,foret,10902.1519136195
589,24929,OCCUP_SOL_BTSL,Excellent,0.014397196287603,Marécage,Marécage,,,,C-lisiere,45.062519999999999,-73.287289999999999,lisiere,foret,12948.0595780363
596,1736824,IEQM,Bon,0.047292375435834,Tourbière boisée minérotrophe,Tourbière,boisée,minérotrophe,,C-foret,45.059890000000003,-73.288010000000000,foret,foret,15674.0633011131
592,25000,OCCUP_SOL_BTSL,Excellent,0.170107943391568,Marécage,Marécage,,,,C-lisiere,45.062519999999999,-73.287289999999999,lisiere,foret,38038.9961452646
595,1736774,IEQM,Bon,0.019881908952960,Tourbière boisée minérotrophe,Tourbière,boisée,minérotrophe,,C-lisiere,45.062519999999999,-73.287289999999999,lisiere,foret,7520.45118902561
55,4679,OCCUP_SOL_BTSL,Excellent,2.237850396471673,Tourbière boisée indifférenciée,Tourbière,boisée,indifférenciée,,E-foret,45.076079999999997,-73.228089999999995,foret,mixte,263820.293404011
55,4679,OCCUP_SOL_BTSL,Excellent,2.237850396471673,Tourbière boisée indifférenciée,Tourbière,boisée,indifférenciée,,E-lisiere,45.078769999999999,-73.227549999999994,lisiere,mixte,143492.239768767
96,2074208,"BDTQ;CANVEC",Faible,0.055183674537336,Milieu humide,Milieu humide,,,,E-lisiere,45.078769999999999,-73.227549999999994,lisiere,mixte,45.7664869377622
496,25264,OCCUP_SOL_BTSL,Excellent,0.015688889168450,Marécage,Marécage,,,,E-foret,45.076079999999997,-73.228089999999995,foret,mixte,6891.63556411973
496,25264,OCCUP_SOL_BTSL,Excellent,0.015688889168450,Marécage,Marécage,,,,E-lisiere,45.078769999999999,-73.227549999999994,lisiere,mixte,13454.7525266642
531,1746353,IEQM,Bon,0.048555107054271,Tourbière boisée minérotrophe,Tourbière,boisée,minérotrophe,,E-foret,45.076079999999997,-73.228089999999995,foret,mixte,2870.61131375283
531,1746353,IEQM,Bon,0.048555107054271,Tourbière boisée minérotrophe,Tourbière,boisée,minérotrophe,,E-lisiere,45.078769999999999,-73.227549999999994,lisiere,mixte,37792.2075067167
531,1746353,IEQM,Bon,0.048555107054271,Tourbière boisée minérotrophe,Tourbière,boisée,minérotrophe,,F-lisiere,45.085120000000003,-73.224699999999999,lisiere,mixte,1371.29308246356
533,1746614,IEQM,Bon,0.037405185353718,Tourbière boisée minérotrophe,Tourbière,boisée,minérotrophe,,E-foret,45.076079999999997,-73.228089999999995,foret,mixte,8832.87075751007
533,1746614,IEQM,Bon,0.037405185353718,Tourbière boisée minérotrophe,Tourbière,boisée,minérotrophe,,E-lisiere,45.078769999999999,-73.227549999999994,lisiere,mixte,18146.606775604
59,1815,OCCUP_SOL_BTSL,Excellent,0.032540540976577,Tourbière ouverte minérotrophe,Tourbière,ouverte,minérotrophe,,E-lisiere,45.078769999999999,-73.227549999999994,lisiere,mixte,5314.04940692644
59,1815,OCCUP_SOL_BTSL,Excellent,0.032540540976577,Tourbière ouverte minérotrophe,Tourbière,ouverte,minérotrophe,,F-foret,45.086610000000000,-73.228030000000004,foret,mixte,8431.89035540726
61,4676,OCCUP_SOL_BTSL,Excellent,0.265759403817069,Tourbière boisée indifférenciée,Tourbière,boisée,indifférenciée,,E-lisiere,45.078769999999999,-73.227549999999994,lisiere,mixte,30667.0273365214
61,4676,OCCUP_SOL_BTSL,Excellent,0.265759403817069,Tourbière boisée indifférenciée,Tourbière,boisée,indifférenciée,,F-foret,45.086610000000000,-73.228030000000004,foret,mixte,126714.192905127
61,4676,OCCUP_SOL_BTSL,Excellent,0.265759403817069,Tourbière boisée indifférenciée,Tourbière,boisée,indifférenciée,,F-lisiere,45.085120000000003,-73.224699999999999,lisiere,mixte,167827.161939805
495,179848,MH_DETAIL,Excellent,0.000212976754101,Tourbière boisée indifférenciée,Tourbière,boisée,indifférenciée,,E-lisiere,45.078769999999999,-73.227549999999994,lisiere,mixte,128.675690174103
497,179774,MH_DETAIL,Excellent,0.000596381804538,Tourbière boisée indifférenciée,Tourbière,boisée,indifférenciée,,E-lisiere,45.078769999999999,-73.227549999999994,lisiere,mixte,596.38144120574
498,25576,OCCUP_SOL_BTSL,Excellent,0.057210934610578,Marécage,Marécage,,,,E-lisiere,45.078769999999999,-73.227549999999994,lisiere,mixte,1739.72488394906
498,25576,OCCUP_SOL_BTSL,Excellent,0.057210934610578,Marécage,Marécage,,,,F-foret,45.086610000000000,-73.228030000000004,foret,mixte,3705.90944806664
526,180248,MH_DETAIL,Excellent,0.000301657982829,Marécage,Marécage,,,,E-lisiere,45.078769999999999,-73.227549999999994,lisiere,mixte,160.673178501893
527,180249,MH_DETAIL,Excellent,0.000093525656362,Tourbière ouverte minérotrophe,Tourbière,ouverte,minérotrophe,,E-lisiere,45.078769999999999,-73.227549999999994,lisiere,mixte,93.5256617614068
56,4691,OCCUP_SOL_BTSL,Excellent,0.144920214062018,Tourbière boisée indifférenciée,Tourbière,boisée,indifférenciée,,F-foret,45.086610000000000,-73.228030000000004,foret,mixte,84342.2895385259
58,1813,OCCUP_SOL_BTSL,Excellent,0.004004652798199,Tourbière ouverte minérotrophe,Tourbière,ouverte,minérotrophe,,F-foret,45.086610000000000,-73.228030000000004,foret,mixte,4004.65278937202
62,25435,OCCUP_SOL_BTSL,Excellent,0.022599478860133,Marécage,Marécage,,,,F-lisiere,45.085120000000003,-73.224699999999999,lisiere,mixte,22493.9923746125
63,25442,OCCUP_SOL_BTSL,Excellent,0.007186400518226,Marécage,Marécage,,,,F-foret,45.086610000000000,-73.228030000000004,foret,mixte,1585.53342612283
63,25442,OCCUP_SOL_BTSL,Excellent,0.007186400518226,Marécage,Marécage,,,,F-lisiere,45.085120000000003,-73.224699999999999,lisiere,mixte,7186.40049075827
99,4714,OCCUP_SOL_BTSL,Excellent,0.189261936577276,Tourbière boisée indifférenciée,Tourbière,boisée,indifférenciée,,F-foret,45.086610000000000,-73.228030000000004,foret,mixte,1222.12010142079
