Site,Year,Month,Day,Time24H,RecordingQuality,DisturbanceType,ANAME,HYVER,LICLA,LICAT,LIPAL,LIPIP,LISEP,LISYL,PSMAC-TRI,PSCRU,fileName
C-foret,2021,5,25,1500,moderate,wind,0,0,0,0,0,0,0,0,0,0,S4A16426_20210525_150000.wav
C-foret,2021,5,25,2100,moderate,wind,0,2,0,0,0,0,0,0,0,0,S4A16426_20210525_210000.wav
C-foret,2021,5,26,0,moderate,wind,0,2,0,0,0,0,0,0,0,0,S4A16426_20210526_000000.wav
C-foret,2021,6,1,1500,moderate,wind,0,0,0,0,0,0,0,0,0,0,S4A16426_20210601_150000.wav
C-foret,2021,6,1,2100,moderate,wind,0,2,0,0,0,0,0,0,0,0,S4A16426_20210601_210000.wav
C-foret,2021,6,2,0,bad,rain,0,0,0,0,0,0,0,0,0,0,S4A16426_20210602_000000.wav
C-foret,2021,6,8,1500,moderate,wind,0,0,0,0,0,0,0,0,0,0,S4A16426_20210608_150000.wav
C-foret,2021,6,8,2100,moderate,wind,0,0,0,0,0,0,0,0,0,0,S4A16426_20210608_210000.wav
C-foret,2021,6,9,0,moderate,wind,0,0,0,0,0,0,0,0,0,0,S4A16426_20210609_000000.wav
C-foret,2021,6,15,1500,good,wind,0,0,0,0,0,0,0,0,0,0,S4A16426_20210615_150000.wav
C-foret,2021,6,15,2100,moderate,rain et human,0,2,0,0,0,0,0,0,0,0,S4A16426_20210615_210000.wav
C-foret,2021,6,16,100,moderate,wind,0,0,0,0,0,0,0,0,0,0,S4A16426_20210616_010000.wav
C-foret,2021,6,22,1500,good,wind et human,0,0,0,0,0,0,0,0,0,0,S4A16426_20210622_150000.wav
C-foret,2021,6,22,2100,moderate,human et wind,0,0,0,0,0,0,0,0,0,0,S4A16426_20210622_210000.wav
C-foret,2021,6,23,100,moderate,wind,0,0,0,0,0,0,0,0,0,0,S4A16426_20210623_010000.wav
C-foret,2021,6,29,1500,moderate,human,0,0,0,0,0,0,0,0,0,0,S4A16426_20210629_150000.wav
C-foret,2021,6,29,2100,good,rain,0,0,0,0,0,0,0,0,0,0,S4A16426_20210629_210000.wav
C-foret,2021,6,30,100,moderate,rain,0,2,0,0,0,0,0,0,0,0,S4A16426_20210630_010000.wav
C-foret,2021,7,6,1500,moderate,human,0,0,0,0,0,0,0,0,0,0,S4A16426_20210706_150000.wav
C-foret,2021,7,6,2100,moderate,human,0,2,0,0,0,0,0,0,0,0,S4A16426_20210706_210000.wav
C-foret,2021,7,7,100,moderate,human,0,0,0,0,0,0,0,0,0,0,S4A16426_20210707_010000.wav
C-foret,2021,7,13,1500,bad,wind et human,0,0,0,0,0,0,0,0,0,0,S4A16426_20210713_150000.wav
C-foret,2021,7,13,2100,moderate,wind,0,2,0,0,0,0,0,0,0,0,S4A16426_20210713_210000.wav
C-foret,2021,7,14,100,bad,wind,0,2,0,0,0,0,0,0,0,0,S4A16426_20210714_010000.wav
C-lisiere,2021,5,25,1500,moderate,human et wind,0,0,0,0,0,0,0,0,0,0,S4A16291_20210525_150000.wav
C-lisiere,2021,5,25,2100,moderate,wind,0,2,0,0,0,0,0,0,0,0,S4A16291_20210525_210000.wav
C-lisiere,2021,5,26,100,moderate,wind,0,2,0,0,0,0,0,0,0,0,S4A16291_20210526_010000.wav
C-lisiere,2021,6,1,1500,moderate,human,0,0,0,0,0,0,0,0,0,0,S4A16291_20210601_150000.wav
C-lisiere,2021,6,1,2100,moderate,rain,0,0,0,0,0,0,0,0,0,0,S4A16291_20210601_210000.wav
C-lisiere,2021,6,2,0,bad,rain,0,2,0,0,0,0,0,0,0,0,S4A16291_20210602_000000.wav
C-lisiere,2021,6,8,1500,moderate,wind et human,0,0,0,0,0,0,0,0,0,0,S4A16291_20210608_150000.wav
C-lisiere,2021,6,8,2100,moderate,human et wind,0,0,0,0,0,0,0,0,0,0,S4A16291_20210608_210000.wav
C-lisiere,2021,6,9,100,moderate,human,0,0,0,0,0,0,0,0,0,0,S4A16291_20210609_010000.wav
C-lisiere,2021,6,15,1500,moderate,human,0,0,0,0,0,0,0,0,0,0,S4A16291_20210615_150000.wav
C-lisiere,2021,6,15,2100,moderate,human et rain,0,2,0,0,0,0,0,0,0,0,S4A16291_20210615_210000.wav
C-lisiere,2021,6,16,100,moderate,wind,0,2,0,0,0,0,0,0,0,0,S4A16291_20210616_010000.wav
C-lisiere,2021,6,22,1500,moderate,human,0,0,0,0,0,0,0,0,0,0,S4A16291_20210622_150000.wav
C-lisiere,2021,6,22,2100,moderate,human,0,0,0,0,0,0,0,0,0,0,S4A16291_20210622_210000.wav
C-lisiere,2021,6,23,100,moderate,wind,0,1,0,0,0,0,0,0,0,0,S4A16291_20210623_010000.wav
C-lisiere,2021,6,29,1500,moderate,human,0,0,0,0,0,0,0,0,0,0,S4A16291_20210629_150000.wav
C-lisiere,2021,6,29,2100,moderate,human,0,0,0,0,0,0,0,0,0,0,S4A16291_20210629_210000.wav
C-lisiere,2021,6,30,100,good,none,0,2,0,0,0,0,0,0,0,0,S4A16291_20210630_010000.wav
C-lisiere,2021,7,6,1500,moderate,human,0,0,0,0,0,0,0,0,0,0,S4A16291_20210706_150000.wav
C-lisiere,2021,7,6,2100,moderate,human,0,2,0,0,0,0,0,0,0,0,S4A16291_20210706_210000.wav
C-lisiere,2021,7,7,100,moderate,human,0,2,0,0,0,0,0,0,0,0,S4A16291_20210707_010000.wav
C-lisiere,2021,7,13,1500,moderate,wind,0,0,0,0,0,0,0,0,0,0,S4A16291_20210713_150000.wav
C-lisiere,2021,7,13,2100,moderate,wind,0,0,0,0,0,0,0,0,0,0,S4A16291_20210713_210000.wav
C-lisiere,2021,7,14,100,moderate,wind,0,2,0,0,0,0,0,0,0,0,S4A16291_20210714_010000.wav
E-foret,2021,5,25,1400,moderate,wind,0,0,0,0,0,0,0,0,0,0,S4A16385_20210525_140000.wav
E-foret,2021,5,25,1500,moderate,wind et human,0,2,0,0,0,0,0,0,0,0,S4A16385_20210525_150000.wav
E-foret,2021,5,25,2100,moderate,wind,0,2,0,0,0,0,0,0,0,0,S4A16385_20210525_210000.wav
E-foret,2021,5,26,100,moderate,wind,0,2,1,0,0,0,0,0,0,0,S4A16385_20210526_010000.wav
E-foret,2021,6,1,1500,moderate,wind,0,0,0,0,0,0,0,0,0,0,S4A16385_20210601_150000.wav
E-foret,2021,6,1,2100,good,human,0,0,0,0,0,0,0,0,0,0,S4A16385_20210601_210000.wav
E-foret,2021,6,2,100,good,none,0,0,0,0,0,0,0,0,0,0,S4A16385_20210602_010000.wav
E-foret,2021,6,8,1500,moderate,wind,0,0,0,0,0,0,0,0,0,0,S4A16385_20210608_150000.wav
E-foret,2021,6,8,2100,good,none,0,0,0,0,0,0,0,0,0,0,S4A16385_20210608_210000.wav
E-foret,2021,6,9,100,moderate,human,0,0,0,0,0,0,0,0,0,0,S4A16385_20210609_010000.wav
E-foret,2021,6,15,1500,moderate,human,0,0,0,0,0,0,0,0,0,0,S4A16385_20210615_150000.wav
E-foret,2021,6,15,2100,moderate,rain,0,0,0,0,0,0,0,0,0,0,S4A16385_20210615_210000.wav
E-foret,2021,6,16,100,bad,rain,0,0,0,0,0,0,0,0,0,0,S4A16385_20210616_010000.wav
