"Enregistre","Route","Agriculture","Eau","Humide","Site"
"C-foret",0,16090.905816347,0,262142.650156026,"foret"
"C-lisiere",543.216214565063,62919.4854209104,0,221146.435659472,"lisiere"
"E-foret",0,829.634911880625,0,282415.411039394,"foret"
"E-lisiere",524.450619321298,5286.9218422816,0,251631.63066373,"lisiere"
"F-foret",0,5.14483040859341,59647.7169049619,247287.907255999,"foret"
"F-lisiere",556.242416069294,18301.6413389809,683.035388721805,201805.62292275,"lisiere"
"Francine-3",0,44436.0692338907,0,239338.532969553,"lisiere"
"G-foret",0,42142.8665007603,0,247521.269761766,"foret"
"G-lisiere",567.872630708236,32462.8277633378,12461.3878299213,240411.291022846,"lisiere"
"H-lisiere",574.450601593857,101863.091358193,0,184991.98940836,"lisiere"
"J-foret",0,18649.4956899435,34657.5001650884,242576.584196681,"foret"
"J-lisiere",0,80464.7541579904,0,203566.396397883,"lisiere"
"K-foret",0,25746.6804795764,0,282780.719966874,"foret"
"K-lisiere",0,64888.3223238172,0,234191.425369228,"lisiere"
"L-foret_O-lisiere",0,75035.464705047,0,220403.669803858,"lisiere"
"L-lisiere",0,90437.1934449231,0,199118.376645284,"lisiere"
"M-foret",0,19231.8339014099,37542.0798907214,18841.4899511265,"foret"
"M-lisiere",1187.2735564707,61651.0129434914,53839.4420743049,25534.1139353248,"lisiere"
"N-foret",0,50.704548118505,0,0,"foret"
"N-lisiere",0,19515.9111098347,113276.453048262,0,"lisiere"
"P-lisiere",0,44521.3754671438,0,222420.511842977,"lisiere"
"Q-lisiere",0,96330.5392134343,91.1081631621655,188202.745877809,"lisiere"
"W-lisiere",0,98945.4406857355,0,188250.41621911,"lisiere"
"X-foret_X-lisiere",0,24446.6189424886,0,282780.740229308,"foret"
"Y-lisiere",0,86274.9682511284,0,200291.424451182,"lisiere"
"Z-lisiere",234.129162524731,78641.0953068585,83934.0630855557,145392.03686515,"lisiere"
