fid,IdRte,Version,NomRte,NoRte,ClsRte,CaractRte,Cls_CheFor,Cls_RAT,An_Classi,No_Chefor,CarRte,Che_Multi,Gestion,Source,Notes,NbrVoies,EtatRev,Dossi_Pont,Cap_Port,Stat_Pont,AQRP_UUID,Enregistre,Latitude,Longitude,Type,Milieu,longueur
1133,12131c3c3a204272b246ecd1ed8a5f0e,AQ20221201,Route 202,202,Régionale,,NF,,,,OUI,NON,Transports Québec,AQ,"Avertissement : Le diffuseur ne peut garantir l’exactitude, la précision ou l’intégralité des données ni ne peut être tenu responsable des conclusions qui découlent de leur utilisation. Ces données n’ont aucune valeur légale.","2",Revêtue,,,,1e2404c9-f106-4429-ae48-31e4d0fa64ea,C-lisiere,45.062519999999999,-73.287289999999999,lisiere,foret,543.216214565063
482,4abe2092e1ab474ba4e0105e76e29a86,AQ20221201,Rang des Côtes,,Locale,,NF,,,,OUI,NON,Municipal,AQ,"Avertissement : Le diffuseur ne peut garantir l’exactitude, la précision ou l’intégralité des données ni ne peut être tenu responsable des conclusions qui découlent de leur utilisation. Ces données n’ont aucune valeur légale.",INC,INC,,,,57eab08e-9b9c-4618-92e2-02d29941dd99,E-lisiere,45.078769999999999,-73.227549999999994,lisiere,mixte,524.450619321298
482,4abe2092e1ab474ba4e0105e76e29a86,AQ20221201,Rang des Côtes,,Locale,,NF,,,,OUI,NON,Municipal,AQ,"Avertissement : Le diffuseur ne peut garantir l’exactitude, la précision ou l’intégralité des données ni ne peut être tenu responsable des conclusions qui découlent de leur utilisation. Ces données n’ont aucune valeur légale.",INC,INC,,,,57eab08e-9b9c-4618-92e2-02d29941dd99,F-lisiere,45.085120000000003,-73.224699999999999,lisiere,mixte,556.242416069294
515,d0db5c21fc3aa473e05358f2298e57e0,AQ20221201,Rang du Marécage,,Collectrice municipale,,NF,,,,OUI,NON,Municipal,AQ,"Avertissement : Le diffuseur ne peut garantir l’exactitude, la précision ou l’intégralité des données ni ne peut être tenu responsable des conclusions qui découlent de leur utilisation. Ces données n’ont aucune valeur légale.",INC,INC,,,,8d234310-659d-48be-b4e0-8d476a4c2e4b,G-lisiere,45.106470000000002,-73.197649999999996,lisiere,mixte,553.213967796109
517,d0db5c21fc42a473e05358f2298e57e0,AQ20221201,Rang du Marécage,,Collectrice municipale,Ponceau,NF,,INC,,OUI,NON,Municipal,AQ,"Avertissement : Le diffuseur ne peut garantir l’exactitude, la précision ou l’intégralité des données ni ne peut être tenu responsable des conclusions qui découlent de leur utilisation. Ces données n’ont aucune valeur légale.",INC,INC,"207248",,INC,077353e3-929d-4d1e-886b-f3555087a5de,G-lisiere,45.106470000000002,-73.197649999999996,lisiere,mixte,14.6586629121271
185,456d68893c283947e05358f2298efa93,AQ20221201,16e Avenue Est,,Locale,,NF,,,,OUI,NON,Municipal,AQ,"Avertissement : Le diffuseur ne peut garantir l’exactitude, la précision ou l’intégralité des données ni ne peut être tenu responsable des conclusions qui découlent de leur utilisation. Ces données n’ont aucune valeur légale.","2",Revêtue,,,,b506dc93-3f3f-4497-b902-419974d7a7e8,H-lisiere,45.093150000000001,-73.129909999999995,lisiere,mixte,574.450601593857
69,82c7c85f1d5948fca00d22ca49cc93ce,AQ20221201,Boulevard de la Falaise,,Locale,,NF,,,,OUI,NON,Municipal,AQ,"Avertissement : Le diffuseur ne peut garantir l’exactitude, la précision ou l’intégralité des données ni ne peut être tenu responsable des conclusions qui découlent de leur utilisation. Ces données n’ont aucune valeur légale.",INC,INC,,,,b59dc9a8-eb56-45c4-998c-ff70344b6409,M-lisiere,45.021740000000001,-73.081779999999995,lisiere,mixte,19.4908423894617
660,8cd4de4f39ba435a9f7a51aaca760b5f,AQ20221201,Avenue Stanley,,Locale,,NF,,,,OUI,NON,Municipal,AQ,"Avertissement : Le diffuseur ne peut garantir l’exactitude, la précision ou l’intégralité des données ni ne peut être tenu responsable des conclusions qui découlent de leur utilisation. Ces données n’ont aucune valeur légale.",INC,INC,,,,0069ce28-41f1-4ffa-8445-badd2e07a904,M-lisiere,45.021740000000001,-73.081779999999995,lisiere,mixte,92.3906203313506
948,a8cecee515d74a97b8606122cfa11fe6,AQ20221201,1re Avenue,,Locale,,NF,,,,OUI,NON,Municipal,AQ,"Avertissement : Le diffuseur ne peut garantir l’exactitude, la précision ou l’intégralité des données ni ne peut être tenu responsable des conclusions qui découlent de leur utilisation. Ces données n’ont aucune valeur légale.",INC,INC,,,,8700f28d-05a7-4a65-8e42-a6c0f4de8c5b,M-lisiere,45.021740000000001,-73.081779999999995,lisiere,mixte,41.3325557350745
952,4ef082c0146245eda1114e4c18fa57dd,AQ20221201,Boulevard de la Falaise,,Locale,,NF,,,,OUI,NON,Municipal,AQ,"Avertissement : Le diffuseur ne peut garantir l’exactitude, la précision ou l’intégralité des données ni ne peut être tenu responsable des conclusions qui découlent de leur utilisation. Ces données n’ont aucune valeur légale.","2",Revêtue,,,,5f11af85-babb-4163-91c7-c012108b06bc,M-lisiere,45.021740000000001,-73.081779999999995,lisiere,mixte,8.97366674162485
1106,1d5e83b06b3c44768d501962dede7a46,AQ20221201,Route 133,133,Nationale,,NF,,,,OUI,NON,Transports Québec,AQ,"Avertissement : Le diffuseur ne peut garantir l’exactitude, la précision ou l’intégralité des données ni ne peut être tenu responsable des conclusions qui découlent de leur utilisation. Ces données n’ont aucune valeur légale.",INC,Revêtue,,,,bdb227b0-8339-42ba-9244-56c19e6b70a3,M-lisiere,45.021740000000001,-73.081779999999995,lisiere,mixte,506.364325951302
1109,bd9be04d7b7949258288c3069b92242c,AQ20221201,Route 133,133,Nationale,,NF,,,,OUI,NON,Transports Québec,AQ,"Avertissement : Le diffuseur ne peut garantir l’exactitude, la précision ou l’intégralité des données ni ne peut être tenu responsable des conclusions qui découlent de leur utilisation. Ces données n’ont aucune valeur légale.",INC,Revêtue,,,,718e3848-b7e5-4298-a77d-3ef36fcd3bae,M-lisiere,45.021740000000001,-73.081779999999995,lisiere,mixte,144.297060027465
1111,02c75afa2ac9498c9c4b5880bbf6f3a6,AQ20221201,Route 133,133,Nationale,,NF,,,,OUI,NON,Transports Québec,AQ,"Avertissement : Le diffuseur ne peut garantir l’exactitude, la précision ou l’intégralité des données ni ne peut être tenu responsable des conclusions qui découlent de leur utilisation. Ces données n’ont aucune valeur légale.",INC,Revêtue,,,,f5ae3e46-3e52-4707-ac09-ae6bd4b968d5,M-lisiere,45.021740000000001,-73.081779999999995,lisiere,mixte,18.5012466443738
1112,2e1d78bc701c444aa4a1a7fd9af2b98c,AQ20221201,Route 133,133,Nationale,,NF,,,,OUI,NON,Transports Québec,AQ,"Avertissement : Le diffuseur ne peut garantir l’exactitude, la précision ou l’intégralité des données ni ne peut être tenu responsable des conclusions qui découlent de leur utilisation. Ces données n’ont aucune valeur légale.",INC,Revêtue,,,,95e7e7c4-5800-4fb1-9ae1-0ff943b57275,M-lisiere,45.021740000000001,-73.081779999999995,lisiere,mixte,349.818445505631
