fid,DN,Enregistre,Latitude,Longitude,Type,Milieu,surface
9076,"120",C-lisiere,45.062519999999999,-73.287289999999999,lisiere,foret,690.73562722496
9113,"6147",C-lisiere,45.062519999999999,-73.287289999999999,lisiere,foret,1085.44132299456
9128,"4623",C-foret,45.059890000000003,-73.288010000000000,foret,foret,98.6765112644061
9128,"4623",C-lisiere,45.062519999999999,-73.287289999999999,lisiere,foret,98.6765112644061
9152,"120",C-foret,45.059890000000003,-73.288010000000000,foret,foret,96.6659562917048
9152,"120",C-lisiere,45.062519999999999,-73.287289999999999,lisiere,foret,394.706082764984
9186,"6147",C-lisiere,45.062519999999999,-73.287289999999999,lisiere,foret,98.6764788098517
9213,"6147",C-foret,45.059890000000003,-73.288010000000000,foret,foret,98.676521753252
9214,"6147",C-lisiere,45.062519999999999,-73.287289999999999,lisiere,foret,98.6764796656498
9241,"120",C-foret,45.059890000000003,-73.288010000000000,foret,foret,493.382614243223
9315,"147",C-foret,45.059890000000003,-73.288010000000000,foret,foret,2325.21367638869
9315,"147",C-lisiere,45.062519999999999,-73.287289999999999,lisiere,foret,13158.1682547645
9319,"4529",C-foret,45.059890000000003,-73.288010000000000,foret,foret,9199.41632151761
9319,"4529",C-lisiere,45.062519999999999,-73.287289999999999,lisiere,foret,10735.5336543417
9333,"6147",C-foret,45.059890000000003,-73.288010000000000,foret,foret,394.706094449444
9359,"120",C-foret,45.059890000000003,-73.288010000000000,foret,foret,197.353050891834
9360,"4623",C-foret,45.059890000000003,-73.288010000000000,foret,foret,98.6765024667839
9360,"4623",C-lisiere,45.062519999999999,-73.287289999999999,lisiere,foret,98.6765024667839
9371,"4623",C-foret,45.059890000000003,-73.288010000000000,foret,foret,98.676503838622
9371,"4623",C-lisiere,45.062519999999999,-73.287289999999999,lisiere,foret,98.676503838622
9395,"4623",C-foret,45.059890000000003,-73.288010000000000,foret,foret,197.35301153356
9395,"4623",C-lisiere,45.062519999999999,-73.287289999999999,lisiere,foret,197.35301153356
9396,"6529",C-foret,45.059890000000003,-73.288010000000000,foret,foret,98.6764977341227
9396,"6529",C-lisiere,45.062519999999999,-73.287289999999999,lisiere,foret,98.6764977341227
9401,"6529",C-foret,45.059890000000003,-73.288010000000000,foret,foret,197.353013027925
9401,"6529",C-lisiere,45.062519999999999,-73.287289999999999,lisiere,foret,197.353013027925
9444,"6158",C-foret,45.059890000000003,-73.288010000000000,foret,foret,789.412209987
9445,"4623",C-foret,45.059890000000003,-73.288010000000000,foret,foret,98.6764964174654
9445,"4623",C-lisiere,45.062519999999999,-73.287289999999999,lisiere,foret,85.3769845943607
9461,"4623",C-foret,45.059890000000003,-73.288010000000000,foret,foret,1085.4414384838
9480,"4623",C-foret,45.059890000000003,-73.288010000000000,foret,foret,98.6765062718769
9509,"6529",C-foret,45.059890000000003,-73.288010000000000,foret,foret,98.6765046626679
9523,"4529",C-foret,45.059890000000003,-73.288010000000000,foret,foret,18353.8290027993
9523,"4529",C-lisiere,45.062519999999999,-73.287289999999999,lisiere,foret,5399.78266782872
9525,"6623",C-foret,45.059890000000003,-73.288010000000000,foret,foret,127143.936349558
9525,"6623",C-lisiere,45.062519999999999,-73.287289999999999,lisiere,foret,115781.189192388
9588,"6529",C-foret,45.059890000000003,-73.288010000000000,foret,foret,14656.9210874094
9588,"6529",C-lisiere,45.062519999999999,-73.287289999999999,lisiere,foret,18943.7279628564
9633,"6147",C-foret,45.059890000000003,-73.288010000000000,foret,foret,2664.26517960135
9707,"158",C-foret,45.059890000000003,-73.288010000000000,foret,foret,1531.42989972315
9708,"6623",C-foret,45.059890000000003,-73.288010000000000,foret,foret,8484.33306555534
9717,"6147",C-foret,45.059890000000003,-73.288010000000000,foret,foret,984.934211756132
9814,"4623",C-foret,45.059890000000003,-73.288010000000000,foret,foret,29046.6108124951
10206,"4529",C-foret,45.059890000000003,-73.288010000000000,foret,foret,826.431058998423
10207,"6529",C-foret,45.059890000000003,-73.288010000000000,foret,foret,56813.0617846605
10207,"6529",C-lisiere,45.062519999999999,-73.287289999999999,lisiere,foret,17540.5633052926
10811,"147",C-foret,45.059890000000003,-73.288010000000000,foret,foret,6514.86640126124
10811,"147",C-lisiere,45.062519999999999,-73.287289999999999,lisiere,foret,21790.3346664782
8525,"6547",C-lisiere,45.062519999999999,-73.287289999999999,lisiere,foret,88.0546646153962
8540,"6147",C-lisiere,45.062519999999999,-73.287289999999999,lisiere,foret,71.3470460764947
8558,"6147",C-lisiere,45.062519999999999,-73.287289999999999,lisiere,foret,296.029513980262
8605,"4623",C-lisiere,45.062519999999999,-73.287289999999999,lisiere,foret,16959.6278680062
8606,"6547",C-lisiere,45.062519999999999,-73.287289999999999,lisiere,foret,1184.11804676769
8619,"6147",C-lisiere,45.062519999999999,-73.287289999999999,lisiere,foret,986.765045148088
8652,"4147",C-lisiere,45.062519999999999,-73.287289999999999,lisiere,foret,296.029511704226
8720,"147",C-lisiere,45.062519999999999,-73.287289999999999,lisiere,foret,10576.7496862844
8721,"6547",C-lisiere,45.062519999999999,-73.287289999999999,lisiere,foret,986.765018645354
8745,"120",C-lisiere,45.062519999999999,-73.287289999999999,lisiere,foret,394.706049995031
8746,"120",C-lisiere,45.062519999999999,-73.287289999999999,lisiere,foret,197.353010084189
8747,"6547",C-lisiere,45.062519999999999,-73.287289999999999,lisiere,foret,888.08834453937
8765,"122",C-lisiere,45.062519999999999,-73.287289999999999,lisiere,foret,6271.11770227275
8770,"4547",C-lisiere,45.062519999999999,-73.287289999999999,lisiere,foret,19685.3697037727
8783,"6547",C-lisiere,45.062519999999999,-73.287289999999999,lisiere,foret,1874.85335456091
8798,"320",C-lisiere,45.062519999999999,-73.287289999999999,lisiere,foret,3585.13841382833
8817,"6320",C-lisiere,45.062519999999999,-73.287289999999999,lisiere,foret,3256.32433334147
8818,"6320",C-lisiere,45.062519999999999,-73.287289999999999,lisiere,foret,493.382421025774
8819,"6320",C-lisiere,45.062519999999999,-73.287289999999999,lisiere,foret,197.352957057825
8820,"6547",C-lisiere,45.062519999999999,-73.287289999999999,lisiere,foret,127.087857431499
8860,"120",C-lisiere,45.062519999999999,-73.287289999999999,lisiere,foret,2861.61876753942
8861,"320",C-lisiere,45.062519999999999,-73.287289999999999,lisiere,foret,1264.5974791645
8862,"6320",C-lisiere,45.062519999999999,-73.287289999999999,lisiere,foret,0.483559625092312
8960,"6147",C-lisiere,45.062519999999999,-73.287289999999999,lisiere,foret,197.353027931269
9016,"120",C-lisiere,45.062519999999999,-73.287289999999999,lisiere,foret,592.059096893703
9026,"6147",C-lisiere,45.062519999999999,-73.287289999999999,lisiere,foret,2861.61805029784
6717,"6147",E-lisiere,45.078769999999999,-73.227549999999994,lisiere,mixte,485.382340195301
6808,"6529",E-lisiere,45.078769999999999,-73.227549999999994,lisiere,mixte,4417.67989101348
6813,"2623",E-foret,45.076079999999997,-73.228089999999995,foret,mixte,0.103868951920958
6813,"2623",E-lisiere,45.078769999999999,-73.227549999999994,lisiere,mixte,5031.83179659469
6823,"6623",E-foret,45.076079999999997,-73.228089999999995,foret,mixte,2733.08833655162
6823,"6623",E-lisiere,45.078769999999999,-73.227549999999994,lisiere,mixte,35408.2830267106
6910,"2623",E-foret,45.076079999999997,-73.228089999999995,foret,mixte,528.370868990198
6927,"6147",E-foret,45.076079999999997,-73.228089999999995,foret,mixte,59.7579760589288
6969,"4623",E-foret,45.076079999999997,-73.228089999999995,foret,mixte,5871.5155337279
6969,"4623",E-lisiere,45.078769999999999,-73.227549999999994,lisiere,mixte,12999.0164332411
6976,"2623",E-foret,45.076079999999997,-73.228089999999995,foret,mixte,98.6760938278167
6983,"2623",E-foret,45.076079999999997,-73.228089999999995,foret,mixte,98.6760919234075
7021,"6147",E-foret,45.076079999999997,-73.228089999999995,foret,mixte,305.86898210214
7114,"6623",E-foret,45.076079999999997,-73.228089999999995,foret,mixte,7445.2927562049
7114,"6623",E-lisiere,45.078769999999999,-73.227549999999994,lisiere,mixte,1039.32843432906
7137,"6147",E-foret,45.076079999999997,-73.228089999999995,foret,mixte,464.007953719556
7217,"6623",E-foret,45.076079999999997,-73.228089999999995,foret,mixte,607.774786698865
7278,"2623",E-foret,45.076079999999997,-73.228089999999995,foret,mixte,126109.157842113
7278,"2623",E-lisiere,45.078769999999999,-73.227549999999994,lisiere,mixte,116037.602117481
7773,"2623",E-foret,45.076079999999997,-73.228089999999995,foret,mixte,46.5717818896374
8126,"2529",E-foret,45.076079999999997,-73.228089999999995,foret,mixte,138416.216842491
