"Site","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"C-foret","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA
"C-lisiere","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA
"E-foret","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"E-lisiere","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"F-foret","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"F-lisiere","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Francine-3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA
"G-foret",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"G-lisiere","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"H-lisiere","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA
"J-foret","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",NA
"J-lisiere","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",NA
"K-foret","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA
"K-lisiere","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0","0",NA
"L-foret_O-lisiere","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA
"L-lisiere","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0",NA
"M-foret","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",NA
"M-lisiere","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA
"N-foret","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA
"N-lisiere","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA
"P-lisiere","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0",NA
"Q-lisiere","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA
"W-lisiere","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA
"X-foret_X-lisiere","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0",NA
"Y-lisiere","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",NA
"Z-lisiere","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA
