"Site","144","145","147","150","151","153","154","158","160","165","172","179","186","192","193"
"C-foret","2",NA,NA,NA,"2",NA,NA,"2",NA,"1","1","2","2",NA,"3"
"C-lisiere","2",NA,NA,NA,"2",NA,NA,"2",NA,"2","2","2","2",NA,"2"
"E-foret","2",NA,NA,NA,"2",NA,NA,"2",NA,"2","2","2","2",NA,"2"
"E-lisiere","2",NA,NA,NA,"2",NA,NA,"2",NA,"2","2","2","2",NA,"2"
"F-foret","2",NA,NA,NA,"2",NA,NA,"2",NA,"2","2","2","2",NA,"2"
"F-lisiere","3",NA,NA,NA,"2",NA,NA,"2",NA,"2","1","2","2",NA,"1"
"Francine-3",NA,NA,NA,NA,"2",NA,NA,"2",NA,"2","2","2","1",NA,"2"
"G-foret","3",NA,NA,NA,"1",NA,NA,"2",NA,"2","2","2","2",NA,"2"
"G-lisiere","3",NA,NA,NA,"2",NA,NA,"2",NA,"2","2","2","2",NA,"3"
"H-lisiere",NA,NA,NA,NA,"2",NA,NA,"2",NA,"2","2","2","2",NA,"2"
"J-foret",NA,"3",NA,NA,"3",NA,NA,"2",NA,"2","2","2","2","2",NA
"J-lisiere",NA,"2",NA,NA,"2",NA,NA,"2","2",NA,"2","2","2","2",NA
"K-foret",NA,"2",NA,"2",NA,NA,NA,"2",NA,"2","2","2","2","2",NA
"K-lisiere",NA,"2",NA,NA,"2",NA,NA,"2",NA,"2","2","2","2","2",NA
"L-foret_O-lisiere",NA,"3",NA,NA,"2",NA,NA,"2",NA,"2","2","2","1","2",NA
"L-lisiere",NA,"2",NA,NA,"2",NA,NA,"2",NA,"2","2","2","2","2",NA
"M-foret",NA,NA,"2",NA,"2",NA,NA,"2",NA,"2","3","2","2","2",NA
"M-lisiere",NA,NA,"2",NA,"2",NA,NA,"2",NA,"2","2","2","2","2",NA
"N-foret",NA,NA,"2",NA,"2",NA,NA,"2",NA,"2","2","2","2","1",NA
"N-lisiere",NA,NA,"2",NA,"2",NA,NA,"2",NA,"2","3","2","2","2",NA
"P-lisiere","2",NA,NA,NA,"2",NA,NA,"2",NA,"2","2","2","3",NA,"2"
"Q-lisiere","2",NA,NA,NA,"2",NA,NA,"2",NA,"2","2","2","2",NA,"2"
"W-lisiere",NA,NA,NA,NA,"2",NA,NA,"2",NA,"2","2","2","2","2",NA
"X-foret_X-lisiere",NA,NA,NA,NA,NA,NA,"2","2",NA,"2","2","2","2","2",NA
"Y-lisiere",NA,NA,NA,NA,NA,"2",NA,"2",NA,"2","2","2","2","2",NA
"Z-lisiere",NA,NA,NA,NA,NA,"1",NA,"2",NA,"2","2","2","2","2",NA
