"Site","V1","V2","V3","V4","V5","V6","V7","V8"
"C-foret","2","3","2","2","2","2","2","3"
"C-lisiere","2","3","2","2","2","1","2","2"
"E-foret","2","1","2","3","2","1","1","2"
"E-lisiere","2","2","2","2","1","1","2","2"
"F-foret","2","2","1","2","2","1","2","3"
"F-lisiere","2","1","1","2","1","1","2","2"
"Francine-3",NA,"2","2","2","1","1","2","3"
"G-foret","3","1","1","3","1","1","2","2"
"G-lisiere","2","2","2","2","1","1","2","3"
"H-lisiere","3","1","2","2","1","1","2","3"
"J-foret","2","1","2","3","1","2","2","1"
"J-lisiere","2","1","2",NA,"1","1","2","1"
"K-foret","2","2","2","3","1","1","1","1"
"K-lisiere","2","1","2","3","2","1","2","2"
"L-foret_O-lisiere","2","1","1","2","2","1","2","2"
"L-lisiere","2","2","2","3","1","1","2","2"
"M-foret","1","2","2","2","2","2","2","1"
"M-lisiere","1","2","2","2","2","2","3","2"
"N-foret","2","2","2","3","2","1","2","1"
"N-lisiere","1","2","2","2","2","2","2","1"
"P-lisiere","2","1","2","3","1","1","2","2"
"Q-lisiere","2","1","2","2","1","1","2","3"
"W-lisiere",NA,"1","2","3","2","1","1","1"
"X-foret_X-lisiere",NA,"2","2","2","1","2","2","1"
"Y-lisiere",NA,"2","2","2","1","1","2","1"
"Z-lisiere",NA,"2","2","2","2","1","1","1"
