"Site","144","145","147","150","151","153","154","158","160","165","172","179","180","186","192","193"
"C-foret","moderate",NA,NA,NA,"moderate",NA,NA,"moderate",NA,"moderate","moderate","good",NA,"moderate",NA,"moderate"
"C-lisiere","moderate",NA,NA,NA,"moderate",NA,NA,"moderate",NA,"moderate","moderate","moderate",NA,"moderate",NA,"moderate"
"E-foret","moderate",NA,NA,NA,"good",NA,NA,"good",NA,"moderate","moderate","good",NA,"moderate",NA,"moderate"
"E-lisiere","moderate",NA,NA,NA,"moderate",NA,NA,"moderate",NA,"moderate","moderate","good",NA,"good",NA,"moderate"
"F-foret","moderate",NA,NA,NA,"good",NA,NA,"good",NA,"moderate","moderate","moderate",NA,"good",NA,"moderate"
"F-lisiere","moderate",NA,NA,NA,"good",NA,NA,"good",NA,"good","moderate","good",NA,"good",NA,"moderate"
"Francine-3",NA,NA,NA,NA,"moderate",NA,NA,"moderate",NA,"moderate","moderate","good",NA,"good",NA,"bad"
"G-foret","moderate",NA,NA,NA,"good",NA,NA,"good",NA,"bad","moderate","moderate",NA,"good",NA,"moderate"
"G-lisiere","moderate",NA,NA,NA,"good",NA,NA,"moderate",NA,"moderate","moderate","moderate",NA,"moderate",NA,"moderate"
"H-lisiere","moderate",NA,NA,NA,"good",NA,NA,"moderate",NA,"moderate","moderate","good",NA,"moderate",NA,"moderate"
"J-foret",NA,"moderate",NA,NA,"moderate",NA,NA,"moderate",NA,"moderate","moderate","moderate",NA,"moderate","moderate",NA
"J-lisiere",NA,"moderate",NA,NA,"good",NA,NA,"good","moderate",NA,"moderate","moderate",NA,"moderate","moderate",NA
"K-foret",NA,"moderate",NA,"moderate",NA,NA,NA,"moderate",NA,"moderate","moderate","good",NA,"good","good",NA
"K-lisiere",NA,"moderate",NA,NA,"good",NA,NA,"moderate",NA,"moderate","moderate","moderate",NA,"moderate","moderate",NA
"L-foret_O-lisiere",NA,"moderate",NA,NA,"moderate",NA,NA,"moderate",NA,"moderate","moderate",NA,"moderate","good","moderate",NA
"L-lisiere",NA,"bad",NA,NA,"moderate",NA,NA,"moderate",NA,"moderate","moderate","moderate",NA,"moderate","moderate",NA
"M-foret",NA,NA,"moderate",NA,"moderate",NA,NA,"moderate",NA,"moderate","moderate","moderate",NA,"moderate","moderate",NA
"M-lisiere",NA,NA,"good",NA,"moderate",NA,NA,"moderate",NA,"moderate","moderate","good",NA,"moderate","moderate",NA
"N-foret",NA,NA,"good",NA,"moderate",NA,NA,"moderate",NA,"moderate","moderate","good",NA,"good","good",NA
"N-lisiere",NA,NA,"good",NA,"good",NA,NA,"moderate",NA,"moderate","bad","moderate",NA,"good","moderate",NA
"P-lisiere","moderate",NA,NA,NA,"moderate",NA,NA,"moderate",NA,"moderate","moderate","moderate",NA,"moderate",NA,"moderate"
"Q-lisiere","moderate",NA,NA,NA,"moderate",NA,NA,"moderate",NA,"moderate","moderate","moderate",NA,"good",NA,"moderate"
"W-lisiere",NA,NA,NA,NA,"moderate",NA,NA,"good",NA,"moderate","moderate","good",NA,"good","moderate",NA
"X-foret_X-lisiere",NA,NA,NA,NA,NA,NA,"moderate","good",NA,"moderate","good","good",NA,"moderate","good",NA
"Y-lisiere",NA,NA,NA,NA,NA,"moderate",NA,"moderate",NA,"moderate","good","good",NA,"moderate","moderate",NA
"Z-lisiere",NA,NA,NA,NA,NA,"good",NA,"good",NA,"moderate","good","good",NA,"good","good",NA
