"Site","108","109","111","112","115","116","122","129","136","143","150","156","157","164","171","178","185","192","199","206","213"
"C-foret","2",NA,NA,NA,"2",NA,"2","2","2","2","2",NA,"3","1","1","2","2","2","2","2",NA
"C-lisiere","2",NA,NA,NA,"2",NA,"3","2","2","2","2",NA,"3","2","2","2","2","2","2","2",NA
"E-foret",NA,"3",NA,NA,"2",NA,"2","2","2","1","2",NA,"2","1","2","2","2","2","2","2","3"
"E-lisiere",NA,"2",NA,NA,"2",NA,"2","2","3","1","2",NA,"2","2","2","2","2","2","3","2","2"
"F-foret",NA,"3",NA,NA,"1",NA,"1","1","2","2","3",NA,"2","1","1","2","2","2","3","2","2"
"F-lisiere",NA,"3",NA,NA,"2",NA,"2","1","3","1","2",NA,"2","1","2","2","2","2","3","2","2"
"Francine-3",NA,NA,"3",NA,"1",NA,"2","2","3","2","2",NA,"3","2","2","2","2","2","3","2",NA
"G-foret",NA,NA,NA,NA,NA,"3","2","1","3","2","2",NA,"3","2","2","1","2","2","2","2","2"
"G-lisiere",NA,"3",NA,NA,"2",NA,"2","1","2","2","2",NA,"2","2","2","1","2","2","2","3","2"
"H-lisiere",NA,"3",NA,NA,"2",NA,"1","1","3","2","2",NA,"2","2","2","1","2","2","2","2",NA
"J-foret",NA,NA,NA,"3","2",NA,"2","1","2","1","2",NA,"3","2","2","2","2","3","2","2",NA
"J-lisiere",NA,NA,NA,"2","2",NA,"1","1","2","2","2",NA,"2","1","2","2","2","2","3","2",NA
"K-foret",NA,NA,NA,"2","1",NA,"2","2","2","2","2",NA,"3","2","2","2","2","2","2","2",NA
"K-lisiere",NA,NA,NA,"1","2",NA,"2","1","2","2","2","1",NA,"2","2","2","2",NA,"2","2",NA
"L-foret_O-lisiere",NA,NA,"3",NA,"2",NA,"2","2","3","2","2",NA,"3","1","2","2","2","2","2","2",NA
"L-lisiere",NA,NA,"3",NA,"2",NA,"2","2","3","2","2",NA,"3","2","2","2","2","2","3","2",NA
"M-foret","2",NA,NA,NA,"2",NA,"2","2","2","2","2",NA,"2","2","2","2","2","2","2","2",NA
"M-lisiere","3",NA,NA,NA,"2",NA,"2","2","2","2","2",NA,"2","2","2","2","2","2","2","2",NA
"N-foret","3",NA,NA,NA,"2",NA,"2","2","2","1","2",NA,"2","2","2","2","2","2","2","2",NA
"N-lisiere","3",NA,NA,NA,"2",NA,"2","2","3","2","2",NA,"2","2","2","2","2","2","3","2",NA
"P-lisiere",NA,NA,"3",NA,"2",NA,"2","1","3","2","3",NA,"3","2","2","2","2","2","3","2",NA
"Q-lisiere",NA,NA,"3",NA,"2",NA,"2","2","2","2","3",NA,"3","2","2","2","2","2","3","2",NA
"W-lisiere",NA,NA,"3",NA,"2",NA,"2","1","2","2","2",NA,"3","2","2","2","2","2","3","2",NA
"X-foret_X-lisiere",NA,NA,NA,"1","2",NA,"2","1","3","2","2",NA,"3","2","2","2","2","2","3","2",NA
"Y-lisiere",NA,NA,"3",NA,"2",NA,"1","1","2","2","2",NA,"3","2","2","2","2","3","2","2",NA
"Z-lisiere",NA,NA,"2",NA,"2",NA,"1","2","2","2","2",NA,"3","2","2","2","2","2","2","2",NA
