"Site","109","110","112","113","116","117","122","123","130","137","144","151","157","158","165","172","179","186","193","200","207","214"
"C-foret","moderate","0","0","0","moderate","0","0","bad","good","moderate","good","moderate","0","bad","good","moderate","good","moderate","moderate","good","moderate","0"
"C-lisiere","moderate","0","0","0","good","0","0","bad","good","moderate","good","good","0","moderate","moderate","moderate","good","moderate","moderate","good","moderate","0"
"E-foret","0","good","0","0","good","0","0","bad","good","moderate","good","good","0","moderate","good","bad","good","moderate","moderate","good","good","good"
"E-lisiere","0","good","0","0","good","0","0","moderate","good","moderate","good","good","0","bad","good","bad","good","bad","moderate","good","good","good"
"F-foret","0","good","0","0","moderate","0","good","moderate","good","moderate","good","moderate","0","moderate","good","moderate","good","moderate","moderate","good","good","good"
"F-lisiere","0","good","0","0","moderate","0","0","bad","good","moderate","good","moderate","0","moderate","good","bad","good","bad","moderate","good","good","good"
"Francine-3","0","0","good","0","good","0","0","moderate","good","moderate","moderate","moderate","0","bad","good","bad","moderate","moderate","good","good","moderate","0"
"G-foret","0","0","0","0","0","moderate","0","bad","good","moderate","moderate","moderate","0","bad","moderate","moderate","good","moderate","moderate","good","good","good"
"G-lisiere","0","moderate","0","0","good","0","0","moderate","good","moderate","moderate","moderate","0","moderate","good","bad","moderate","moderate","moderate","good","moderate","good"
"H-lisiere","0","good","0","0","good","0","0","moderate","good","moderate","good","moderate","0","bad","moderate","moderate","moderate","moderate","good","good","good","0"
"J-foret","0","0","0","good","good","0","0","bad","good","moderate","good","good","0","bad","good","bad","good","moderate","good","good","good","0"
"J-lisiere","0","0","0","good","good","0","0","moderate","good","moderate","good","moderate","0","moderate","moderate","moderate","good","bad","moderate","good","good","0"
"K-foret","0","0","0","good","good","0","0","moderate","good","moderate","good","bad","0","bad","good","moderate","good","bad","good","good","good","0"
"K-lisiere","0","0","0","good","good","0","0","bad","moderate","moderate","good","moderate","moderate","0","good","moderate","good","bad","0","good","good","0"
"L-lisiere","0","0","good","0","good","0","0","bad","moderate","moderate","moderate","moderate","0","bad","good","moderate","good","bad","good","good","good","0"
"M-foret","moderate","0","0","0","good","0","0","moderate","moderate","moderate","moderate","moderate","0","moderate","moderate","moderate","moderate","bad","moderate","moderate","moderate","0"
"M-lisiere","bad","0","0","0","moderate","0","0","bad","moderate","moderate","bad","moderate","0","moderate","moderate","moderate","moderate","bad","moderate","moderate","good","0"
"N-foret","moderate","0","0","0","moderate","0","0","bad","moderate","moderate","good","moderate","0","moderate","good","moderate","moderate","bad","moderate","moderate","good","0"
"N-lisiere","moderate","0","0","0","good","0","0","bad","good","bad","moderate","moderate","0","bad","good","moderate","good","bad","bad","moderate","moderate","0"
"O-lisiere","0","0","good","0","good","0","0","moderate","moderate","moderate","good","moderate","0","bad","good","moderate","good","bad","good","good","good","0"
"P-lisiere","0","0","good","0","good","0","0","moderate","good","bad","moderate","moderate","0","bad","good","bad","good","moderate","moderate","good","good","0"
"Q-lisiere","0","0","good","0","good","0","0","bad","moderate","bad","good","moderate","0","bad","good","bad","moderate","moderate","moderate","good","moderate","0"
"W-lisiere","0","0","good","0","moderate","0","0","bad","moderate","moderate","good","good","0","bad","good","bad","moderate","bad","moderate","good","moderate","0"
"X-lisiere","0","0","0","good","good","0","0","bad","good","moderate","good","good","0","bad","good","bad","good","bad","moderate","good","moderate","0"
"Y-lisiere","0","0","moderate","0","good","0","0","bad","good","bad","good","good","0","bad","good","bad","good","bad","moderate","good","good","0"
"Z-lisiere","0","0","good","0","good","0","0","bad","moderate","moderate","good","good","0","bad","good","bad","good","bad","moderate","good","good","0"
