"V1","V2","V3","V4","V5","V6","V7","V8","V9"
"moderate","bad","moderate","moderate","moderate","moderate","moderate",NA,NA
"moderate","bad","moderate","moderate","moderate","good","moderate",NA,NA
"moderate","good","moderate","bad","moderate","good","good",NA,NA
"moderate","moderate","moderate","moderate","good","good","moderate",NA,NA
"moderate","moderate","good","moderate","moderate","good","moderate",NA,NA
"moderate","good","good","moderate","good","good","moderate",NA,NA
NA,"moderate","moderate","moderate","good","good","moderate",NA,NA
"bad","good","good","bad","good","good","moderate",NA,NA
"moderate","moderate","moderate","moderate","good","good","moderate",NA,NA
"bad","good","moderate","moderate","good","good","moderate",NA,NA
"moderate","good","moderate","bad","good","moderate","moderate",NA,NA
"moderate","good","moderate",NA,"good","good","moderate",NA,NA
"moderate","moderate","moderate","bad","good","good","good",NA,NA
"moderate","good","moderate","bad","moderate","good","moderate",NA,NA
"moderate","good","good","moderate","moderate","good","moderate",NA,NA
"moderate","moderate","moderate","bad","good","good","moderate",NA,NA
"good","moderate","moderate","moderate","moderate","moderate","moderate",NA,NA
"good","moderate","moderate","moderate","moderate","moderate","bad",NA,NA
"moderate","moderate","moderate","bad","moderate","good","moderate",NA,NA
"good","moderate","moderate","moderate","moderate","moderate","moderate",NA,NA
"moderate","good","moderate","bad","good","good","moderate",NA,NA
"moderate","good","moderate","moderate","good","good","moderate",NA,NA
NA,"good","moderate","bad","moderate","good","good",NA,NA
NA,"moderate","moderate","moderate","good","moderate","moderate",NA,NA
NA,"moderate","moderate","moderate","good","good","moderate",NA,NA
NA,"moderate","moderate","moderate","moderate","good","good",NA,NA
"good","moderate","bad","good","moderate","good","moderate","moderate","good"
"good","good","moderate","moderate","moderate","good","moderate","moderate","good"
"good","good","moderate","good","bad","good","moderate","moderate","good"
"good","good","bad","good","bad","good","bad","moderate","good"
"good","moderate","moderate","good","moderate","good","moderate","moderate","good"
"good","moderate","moderate","good","bad","good","bad","moderate","good"
"moderate","moderate","bad","good","bad","moderate","moderate","good","good"
"moderate","moderate","bad","moderate","moderate","good","moderate","moderate","good"
"moderate","moderate","moderate","good","bad","moderate","moderate","moderate","good"
"good","moderate","bad","moderate","moderate","moderate","moderate","good","good"
"good","good","bad","good","bad","good","moderate","good","good"
"good","moderate","moderate","moderate","moderate","good","bad","moderate","good"
"good","bad","bad","good","moderate","good","bad","good","good"
"good","moderate","moderate","good","moderate","good","bad",NA,"good"
"good","moderate","bad","good","moderate","good","bad","good","good"
"moderate","moderate","bad","good","moderate","good","bad","good","good"
"moderate","moderate","moderate","moderate","moderate","moderate","bad","moderate","moderate"
"bad","moderate","moderate","moderate","moderate","moderate","bad","moderate","moderate"
"good","moderate","moderate","good","moderate","moderate","bad","moderate","moderate"
"moderate","moderate","bad","good","moderate","good","bad","bad","moderate"
"moderate","moderate","bad","good","bad","good","moderate","moderate","good"
"good","moderate","bad","good","bad","moderate","moderate","moderate","good"
"good","good","bad","good","bad","moderate","bad","moderate","good"
"good","good","bad","good","bad","good","bad","moderate","good"
"good","good","bad","good","bad","good","bad","moderate","good"
"good","good","bad","good","bad","good","bad","moderate","good"
