"V1","V2","V3","V4"
"moderate","moderate","moderate","moderate"
"moderate","moderate","moderate","good"
"good","good","good","good"
"moderate","good","moderate","good"
"good","good","moderate","moderate"
"good","good","good","moderate"
"good","good","moderate","good"
NA,NA,"bad","moderate"
"good","moderate","good","good"
"good","good","good","good"
"good","good","good","good"
"good","good","good","good"
"good","good","good","good"
"good","good","good","good"
"good","good","good","good"
"good","good","good","good"
"bad","moderate","good","good"
"bad","bad","moderate","moderate"
"moderate","moderate","moderate","moderate"
"moderate","moderate","good","good"
"good","good","moderate","good"
"moderate","good","moderate","good"
"good","good","moderate","moderate"
"good","good","good","good"
"moderate","moderate","moderate","good"
"good","good","good","good"
