"Enregistre","Agriculture","Coupe","Friche","Conifere","Feuillu","Riviere"
"C-foret",16090.905816347,0,0,0,266695.422468695,0
"C-lisiere",62919.4854209104,0,0,0,211069.550665506,0
"E-foret",829.634911880625,0,0,0,281955.44480337,0
"E-lisiere",5286.9218422816,0,19021.4087894967,0,247323.728297224,0
"F-foret",5.14483040859341,0,0,0,216897.144198433,24319.5404584969
"F-lisiere",18301.6413389809,0,55275.7595494475,0,200880.988047378,683.035388721805
"Francine-3",44436.0692338907,0,0,0,119755.326421532,0
"G-foret",42142.8665007603,0,0,0,228150.48918573,0
"G-lisiere",32462.8277633378,0,0,0,211037.397465885,12461.3878299213
"H-lisiere",101863.091358193,0,0,0,61788.0473186026,0
"J-foret",18649.4956899435,0,0,0,160252.611987887,34639.885980639
"J-lisiere",80464.7541579904,0,0,0,197462.544041192,0
"K-foret",25746.6804795764,0,208.991884348638,0,150489.10620583,0
"K-lisiere",64888.3223238172,0,12235.6357484209,0,183491.662673731,0
"L-foret_O-lisiere",75035.464705047,0,0,0,204435.989605766,0
"L-lisiere",90437.1934449231,0,0,0,187590.393044799,0
"M-foret",19231.8339014099,0,0,10818.024710259,220253.592040356,0
"M-lisiere",61651.0129434914,0,11742.2730326933,28514.572824679,119160.445391767,0
"N-foret",50.704548118505,0,0,5454.51702820612,277275.098468168,0
"N-lisiere",19515.9111098347,0,0,24158.970799149,131557.243032014,880.503911927561
"P-lisiere",44521.3754671438,0,0,15451.1560505832,202824.744136746,0
"Q-lisiere",96330.5392134343,0,0,0,77664.7073858873,91.1081631621655
"W-lisiere",98945.4406857355,0,0,0,173482.488249087,0
"X-foret_X-lisiere",24446.6189424886,0,0,0,147533.771462331,0
"Y-lisiere",86274.9682511284,24233.8890522769,0,0,156363.515681124,0
"Z-lisiere",78641.0953068585,23205.7043236856,0,0,147670.134435625,33263.8865990529
